20:22:27.409 XYZ [[1.24, 4.56, 1.51], [2.59, 2.47, 1.5], [3.66, 3.96, 1.51], [1.49, 4.88, 0.87], [0.0, 0.0, 0.0], [2.08, 2.11, 0.84]]
20:22:27.492 XYZ [[1.23, 4.63, 1.51], [2.57, 2.4, 1.53], [3.69, 3.93, 1.51], [1.51, 4.89, 0.77], [0.0, 0.0, 0.0], [2.12, 2.04, 0.86]]
20:22:27.576 XYZ [[1.25, 4.66, 1.54], [2.57, 2.36, 1.54], [3.74, 3.87, 1.52], [1.54, 4.87, 0.71], [0.0, 0.0, 0.0], [2.14, 2.02, 0.85]]
20:22:27.670 XYZ [[1.26, 4.71, 1.51], [2.57, 2.27, 1.54], [3.8, 3.82, 1.54], [1.55, 4.86, 0.68], [0.0, 0.0, 0.0], [2.12, 2.03, 0.85]]
20:22:27.753 XYZ [[1.27, 4.75, 1.5], [2.51, 2.19, 1.54], [3.83, 3.78, 1.56], [1.62, 4.83, 0.73], [0.0, 0.0, 0.0], [2.15, 2.0, 0.87]]
20:22:27.837 XYZ [[1.29, 4.82, 1.45], [2.49, 2.12, 1.52], [3.85, 3.75, 1.56], [1.71, 4.77, 0.76], [0.0, 0.0, 0.0], [2.16, 1.98, 0.9]]
20:22:27.920 XYZ [[1.28, 4.86, 1.44], [2.47, 2.08, 1.52], [3.85, 3.7, 1.58], [1.74, 4.63, 0.63], [0.0, 0.0, 0.0], [2.17, 1.95, 0.96]]
20:22:28.004 XYZ [[1.28, 4.95, 1.42], [2.43, 1.98, 1.45], [3.84, 3.65, 1.55], [1.77, 4.6, 0.62], [0.0, 0.0, 0.0], [2.18, 1.93, 0.99]]
20:22:28.087 XYZ [[1.28, 5.03, 1.42], [2.4, 1.94, 1.49], [3.84, 3.62, 1.54], [1.76, 4.47, 0.62], [0.0, 0.0, 0.0], [2.17, 1.88, 1.01]]
20:22:28.171 XYZ [[1.26, 5.09, 1.45], [2.38, 1.88, 1.49], [3.82, 3.55, 1.52], [1.73, 4.44, 0.58], [0.0, 0.0, 0.0], [2.16, 1.86, 1.01]]
20:22:28.254 XYZ [[1.25, 5.13, 1.46], [2.38, 1.87, 1.48], [3.8, 3.49, 1.52], [1.69, 4.42, 0.6], [0.0, 0.0, 0.0], [2.16, 1.8, 1.0]]
20:22:28.338 XYZ [[1.23, 5.18, 1.44], [2.35, 1.86, 1.5], [3.82, 3.39, 1.52], [1.6, 4.4, 0.57], [0.0, 0.0, 0.0], [2.17, 1.73, 0.97]]
20:22:28.422 XYZ [[1.23, 5.24, 1.44], [2.35, 1.84, 1.49], [3.82, 3.36, 1.51], [1.47, 4.39, 0.55], [0.0, 0.0, 0.0], [2.16, 1.7, 0.95]]
20:22:28.506 XYZ [[1.24, 5.25, 1.46], [2.36, 1.79, 1.49], [3.82, 3.27, 1.5], [1.41, 4.36, 0.57], [0.0, 0.0, 0.0], [2.14, 1.62, 0.95]]
20:22:28.589 XYZ [[1.24, 5.28, 1.45], [2.39, 1.72, 1.5], [3.85, 3.2, 1.51], [1.33, 4.28, 0.57], [0.0, 0.0, 0.0], [2.13, 1.56, 0.95]]
20:22:28.673 XYZ [[1.27, 5.29, 1.43], [2.43, 1.66, 1.51], [3.84, 3.15, 1.54], [1.29, 4.23, 0.53], [0.0, 0.0, 0.0], [2.13, 1.52, 0.94]]
20:22:28.756 XYZ [[1.3, 5.31, 1.42], [2.4, 1.63, 1.47], [3.87, 3.09, 1.55], [1.27, 4.27, 0.63], [0.0, 0.0, 0.0], [2.08, 1.47, 0.95]]
20:22:28.840 XYZ [[1.34, 5.36, 1.44], [2.37, 1.58, 1.42], [3.89, 3.01, 1.53], [1.39, 4.26, 0.7], [0.0, 0.0, 0.0], [2.06, 1.44, 0.96]]
20:22:28.923 XYZ [[1.39, 5.37, 1.45], [2.38, 1.54, 1.4], [3.89, 3.01, 1.5], [1.64, 4.43, 0.8], [0.0, 0.0, 0.0], [2.03, 1.42, 0.96]]
20:22:29.007 XYZ [[1.4, 5.39, 1.45], [2.38, 1.54, 1.4], [3.9, 2.95, 1.49], [1.7, 4.58, 0.68], [0.0, 0.0, 0.0], [1.98, 1.39, 0.94]]
20:22:29.090 XYZ [[1.44, 5.44, 1.47], [2.32, 1.41, 1.38], [3.88, 2.86, 1.53], [1.72, 4.85, 0.67], [0.0, 0.0, 0.0], [1.9, 1.4, 0.88]]
20:22:29.174 XYZ [[1.45, 5.46, 1.47], [2.29, 1.37, 1.36], [3.86, 2.82, 1.55], [1.71, 5.02, 0.63], [0.0, 0.0, 0.0], [1.86, 1.42, 0.89]]
20:22:29.257 XYZ [[1.49, 5.49, 1.47], [2.26, 1.29, 1.35], [3.82, 2.75, 1.55], [1.77, 5.34, 0.63], [0.0, 0.0, 0.0], [1.79, 1.42, 0.88]]
20:22:29.340 XYZ [[1.54, 5.5, 1.43], [2.19, 1.22, 1.35], [3.76, 2.72, 1.5], [1.78, 5.62, 0.66], [0.0, 0.0, 0.0], [1.73, 1.41, 0.87]]
20:22:29.424 XYZ [[1.58, 5.51, 1.43], [2.16, 1.19, 1.33], [3.75, 2.72, 1.48], [1.8, 5.84, 0.65], [0.0, 0.0, 0.0], [1.7, 1.41, 0.86]]
