00:29:22.588 XYZ [[2.01, 3.62, 1.78], [2.5, 4.11, 1.66], [0.67, 2.22, 1.89], [1.51, 3.42, 1.59], [0.0, 0.0, 0.0], [3.22, 4.48, 1.53], [1.3, 0.8, 1.65], [3.42, 1.32, 1.74], [3.23, 2.51, 1.51], [0.84, 3.19, 1.73]]
00:29:22.672 XYZ [[2.05, 3.62, 1.78], [2.45, 4.16, 1.69], [0.65, 2.22, 1.89], [1.51, 3.52, 1.62], [0.0, 0.0, 0.0], [3.23, 4.5, 1.53], [1.26, 0.81, 1.63], [3.42, 1.3, 1.72], [3.24, 2.45, 1.5], [0.79, 3.24, 1.73]]
00:29:22.755 XYZ [[2.05, 3.62, 1.76], [2.45, 4.16, 1.69], [0.68, 2.17, 1.92], [1.51, 3.57, 1.64], [0.0, 0.0, 0.0], [3.2, 4.56, 1.51], [1.25, 0.8, 1.63], [3.47, 1.23, 1.72], [3.26, 2.42, 1.5], [0.76, 3.26, 1.74]]
00:29:22.838 XYZ [[2.08, 3.62, 1.74], [2.43, 4.26, 1.75], [0.63, 2.16, 1.93], [1.47, 3.68, 1.64], [0.0, 0.0, 0.0], [3.16, 4.64, 1.51], [1.27, 0.73, 1.63], [3.48, 1.15, 1.71], [3.29, 2.36, 1.49], [0.74, 3.3, 1.75]]
00:29:22.922 XYZ [[2.1, 3.61, 1.74], [2.43, 4.26, 1.75], [0.64, 2.15, 1.95], [1.47, 3.73, 1.62], [0.0, 0.0, 0.0], [3.13, 4.68, 1.51], [1.27, 0.73, 1.62], [3.46, 1.14, 1.7], [3.32, 2.34, 1.48], [0.72, 3.32, 1.76]]
00:29:23.005 XYZ [[2.11, 3.59, 1.74], [2.43, 4.26, 1.75], [0.68, 2.16, 1.98], [1.43, 3.84, 1.61], [0.0, 0.0, 0.0], [3.1, 4.71, 1.49], [1.21, 0.72, 1.65], [3.45, 1.1, 1.71], [3.31, 2.31, 1.46], [0.69, 3.36, 1.78]]
00:29:23.089 XYZ [[2.11, 3.6, 1.73], [2.42, 4.37, 1.77], [0.69, 2.21, 1.97], [1.4, 3.98, 1.59], [0.0, 0.0, 0.0], [3.1, 4.72, 1.47], [1.18, 0.69, 1.63], [3.46, 1.03, 1.8], [3.25, 2.29, 1.54], [0.67, 3.38, 1.74]]
00:29:23.172 XYZ [[2.09, 3.59, 1.76], [2.43, 4.39, 1.78], [0.7, 2.26, 2.0], [1.41, 4.08, 1.58], [0.0, 0.0, 0.0], [3.09, 4.71, 1.44], [1.18, 0.68, 1.62], [3.39, 1.06, 1.77], [3.26, 2.28, 1.58], [0.69, 3.4, 1.76]]
00:29:23.258 XYZ [[2.06, 3.6, 1.78], [2.46, 4.43, 1.82], [0.71, 2.32, 2.06], [1.42, 4.18, 1.57], [0.0, 0.0, 0.0], [3.12, 4.7, 1.4], [1.12, 0.67, 1.58], [3.32, 1.07, 1.77], [3.27, 2.28, 1.59], [0.69, 3.4, 1.79]]
00:29:23.342 XYZ [[2.01, 3.65, 1.75], [2.5, 4.47, 1.83], [0.72, 2.41, 2.0], [1.41, 4.24, 1.59], [0.0, 0.0, 0.0], [3.15, 4.7, 1.41], [1.05, 0.68, 1.55], [3.2, 1.1, 1.78], [3.24, 2.3, 1.58], [0.74, 3.4, 1.82]]
