19:38:25.663 XYZ [[3.54, 1.09, 1.39], [3.95, 4.78, 1.52], [3.78, 6.02, 1.65], [3.52, 3.91, 1.34], [3.28, 2.43, 1.34]]
19:38:25.746 XYZ [[3.48, 1.06, 1.39], [3.96, 4.79, 1.52], [3.71, 6.02, 1.68], [3.53, 3.92, 1.35], [3.22, 2.43, 1.35]]
19:38:25.830 XYZ [[3.44, 1.07, 1.39], [3.92, 4.81, 1.49], [3.65, 6.0, 1.68], [3.52, 3.92, 1.37], [3.2, 2.44, 1.36]]
19:38:25.913 XYZ [[3.37, 1.07, 1.38], [3.91, 4.81, 1.47], [3.63, 6.0, 1.69], [3.5, 3.89, 1.33], [3.14, 2.42, 1.37]]
19:38:25.997 XYZ [[3.33, 1.1, 1.38], [3.85, 4.84, 1.42], [3.57, 6.0, 1.68], [3.5, 3.87, 1.32], [3.08, 2.4, 1.39]]
19:38:26.080 XYZ [[3.31, 1.09, 1.36], [3.81, 4.86, 1.43], [3.52, 5.99, 1.65], [3.49, 3.82, 1.34], [3.05, 2.41, 1.4]]
19:38:26.164 XYZ [[3.27, 1.09, 1.33], [3.76, 4.86, 1.41], [3.42, 5.97, 1.61], [3.42, 3.77, 1.31], [2.98, 2.4, 1.42]]
19:38:26.248 XYZ [[3.23, 1.08, 1.31], [3.66, 4.86, 1.35], [3.33, 5.96, 1.53], [3.39, 3.76, 1.31], [2.95, 2.38, 1.41]]
19:38:26.331 XYZ [[3.18, 1.08, 1.32], [3.55, 4.87, 1.36], [3.24, 5.93, 1.49], [3.31, 3.72, 1.34], [2.9, 2.35, 1.44]]
19:38:26.414 XYZ [[3.1, 1.04, 1.33], [3.38, 4.85, 1.31], [3.18, 5.92, 1.46], [3.22, 3.66, 1.4], [2.87, 2.35, 1.45]]
19:38:26.498 XYZ [[3.02, 1.01, 1.31], [3.32, 4.85, 1.32], [3.07, 5.9, 1.41], [3.16, 3.64, 1.42], [2.81, 2.33, 1.44]]
19:38:26.581 XYZ [[2.96, 1.01, 1.29], [3.22, 4.87, 1.31], [3.0, 5.89, 1.4], [3.0, 3.59, 1.46], [2.76, 2.35, 1.43]]
19:38:26.665 XYZ [[2.91, 1.0, 1.29], [3.11, 4.84, 1.36], [2.96, 5.89, 1.38], [2.89, 3.57, 1.48], [2.75, 2.37, 1.42]]
19:38:26.748 XYZ [[2.83, 0.98, 1.26], [3.06, 4.83, 1.38], [2.88, 5.92, 1.37], [2.83, 3.58, 1.49], [2.69, 2.39, 1.41]]
19:38:26.832 XYZ [[2.78, 0.96, 1.24], [2.95, 4.82, 1.37], [2.81, 5.93, 1.33], [2.7, 3.58, 1.47], [2.58, 2.34, 1.37]]
19:38:26.915 XYZ [[2.69, 0.9, 1.23], [2.89, 4.82, 1.36], [2.76, 5.95, 1.33], [2.48, 3.6, 1.46], [2.52, 2.34, 1.39]]
19:38:26.999 XYZ [[2.63, 0.87, 1.24], [2.76, 4.81, 1.35], [2.66, 5.98, 1.3], [2.33, 3.6, 1.49], [2.4, 2.37, 1.42]]
19:38:27.082 XYZ [[2.57, 0.87, 1.25], [2.65, 4.8, 1.35], [2.56, 6.03, 1.31], [2.26, 3.6, 1.51], [2.29, 2.39, 1.43]]
19:38:27.166 XYZ [[2.52, 0.87, 1.24], [2.6, 4.79, 1.36], [2.5, 6.05, 1.3], [2.21, 3.6, 1.52], [2.26, 2.4, 1.42]]
19:38:27.249 XYZ [[2.45, 0.88, 1.32], [2.49, 4.77, 1.37], [2.41, 6.1, 1.29], [2.05, 3.68, 1.56], [2.19, 2.44, 1.42]]
19:38:27.333 XYZ [[2.34, 0.92, 1.31], [2.41, 4.76, 1.39], [2.34, 6.12, 1.31], [2.01, 3.74, 1.55], [2.1, 2.46, 1.38]]
19:38:27.416 XYZ [[2.3, 0.94, 1.29], [2.32, 4.76, 1.39], [2.3, 6.14, 1.29], [1.9, 3.82, 1.5], [2.07, 2.47, 1.35]]
19:38:27.500 XYZ [[2.23, 1.01, 1.24], [2.28, 4.75, 1.4], [2.21, 6.14, 1.26], [1.82, 3.87, 1.48], [2.03, 2.48, 1.35]]
19:38:27.583 XYZ [[2.19, 1.01, 1.23], [2.16, 4.76, 1.39], [2.17, 6.14, 1.27], [1.77, 3.89, 1.49], [2.0, 2.48, 1.35]]
19:38:27.667 XYZ [[2.13, 1.06, 1.18], [2.02, 4.76, 1.37], [2.08, 6.09, 1.28], [1.68, 3.92, 1.48], [1.93, 2.48, 1.35]]
19:38:27.750 XYZ [[2.08, 1.05, 1.17], [1.99, 4.75, 1.4], [1.98, 6.1, 1.28], [1.55, 3.93, 1.45], [1.82, 2.46, 1.31]]
19:38:27.834 XYZ [[2.05, 1.06, 1.18], [1.9, 4.75, 1.44], [1.88, 6.14, 1.26], [1.5, 3.94, 1.46], [1.78, 2.45, 1.32]]
19:38:27.917 XYZ [[1.97, 1.11, 1.16], [1.81, 4.77, 1.5], [1.83, 6.13, 1.25], [1.44, 3.94, 1.4], [1.71, 2.44, 1.3]]
19:38:28.001 XYZ [[1.86, 1.14, 1.12], [1.76, 4.77, 1.51], [1.68, 6.14, 1.28], [1.42, 3.91, 1.37], [1.63, 2.44, 1.26]]
19:38:28.084 XYZ [[1.8, 1.16, 1.1], [1.64, 4.79, 1.56], [1.55, 6.16, 1.3], [1.37, 3.89, 1.33], [1.57, 2.43, 1.24]]
19:38:28.169 XYZ [[1.7, 1.18, 1.06], [1.58, 4.75, 1.57], [1.49, 6.17, 1.33], [1.28, 3.89, 1.3], [1.47, 2.42, 1.21]]
19:38:28.252 XYZ [[1.6, 1.21, 1.04], [1.54, 4.75, 1.59], [1.37, 6.19, 1.37], [1.23, 3.87, 1.24], [1.4, 2.4, 1.2]]
19:38:28.336 XYZ [[1.49, 1.23, 1.02], [1.44, 4.74, 1.62], [1.26, 6.19, 1.37], [1.21, 3.85, 1.25], [1.29, 2.39, 1.2]]
19:38:28.419 XYZ [[1.41, 1.26, 1.01], [1.33, 4.73, 1.66], [1.21, 6.18, 1.39], [1.12, 3.83, 1.27], [1.24, 2.39, 1.2]]
19:38:28.503 XYZ [[1.28, 1.27, 1.01], [1.3, 4.72, 1.65], [1.17, 6.21, 1.42], [1.06, 3.83, 1.27], [1.15, 2.39, 1.22]]
19:38:28.586 XYZ [[1.22, 1.27, 1.09], [1.22, 4.69, 1.62], [1.12, 6.23, 1.41], [1.01, 3.84, 1.26], [1.07, 2.4, 1.24]]
19:38:28.670 XYZ [[1.22, 1.27, 1.11], [1.13, 4.74, 1.58], [1.12, 6.23, 1.41], [0.96, 3.83, 1.27], [1.03, 2.4, 1.23]]
19:38:28.753 XYZ [[1.15, 1.27, 1.08], [1.07, 4.75, 1.56], [1.09, 6.21, 1.42], [0.92, 3.81, 1.29], [0.95, 2.38, 1.24]]
19:38:28.837 XYZ [[1.13, 1.24, 1.07], [1.03, 4.76, 1.49], [1.07, 6.15, 1.44], [0.9, 3.79, 1.29], [0.88, 2.36, 1.27]]
19:38:28.920 XYZ [[1.1, 1.22, 1.09], [0.95, 4.77, 1.45], [1.02, 6.12, 1.45], [0.86, 3.79, 1.31], [0.84, 2.36, 1.3]]
19:38:29.004 XYZ [[1.02, 1.21, 1.09], [0.89, 4.78, 1.45], [0.92, 6.09, 1.48], [0.79, 3.79, 1.3], [0.75, 2.36, 1.34]]
19:38:29.087 XYZ [[0.96, 1.18, 1.11], [0.78, 4.8, 1.46], [0.82, 6.02, 1.47], [0.76, 3.77, 1.29], [0.67, 2.36, 1.38]]
19:38:29.171 XYZ [[0.91, 1.16, 1.12], [0.7, 4.83, 1.48], [0.76, 6.0, 1.48], [0.68, 3.77, 1.34], [0.62, 2.35, 1.4]]
19:38:29.254 XYZ [[0.83, 1.08, 1.18], [0.66, 4.84, 1.49], [0.68, 5.98, 1.5], [0.63, 3.77, 1.36], [0.53, 2.35, 1.42]]
19:38:29.337 XYZ [[0.76, 1.01, 1.25], [0.57, 4.86, 1.46], [0.6, 5.92, 1.53], [0.54, 3.76, 1.39], [0.43, 2.35, 1.42]]
19:38:29.421 XYZ [[0.73, 0.99, 1.27], [0.52, 4.88, 1.49], [0.56, 5.89, 1.51], [0.45, 3.74, 1.4], [0.44, 2.34, 1.41]]
19:38:29.504 XYZ [[0.65, 0.94, 1.29], [0.48, 4.89, 1.49], [0.49, 5.87, 1.53], [0.37, 3.7, 1.41], [0.4, 2.35, 1.44]]
19:38:29.588 XYZ [[0.62, 0.92, 1.31], [0.39, 4.9, 1.51], [0.44, 5.85, 1.58], [0.31, 3.7, 1.41], [0.33, 2.37, 1.44]]
19:38:29.671 XYZ [[0.62, 0.92, 1.31], [0.36, 4.91, 1.51], [0.44, 5.85, 1.58], [0.25, 3.69, 1.41], [0.33, 2.37, 1.44]]
19:38:29.755 XYZ [[0.51, 0.87, 1.42], [0.28, 4.91, 1.52], [0.39, 5.84, 1.64], [0.12, 3.65, 1.5], [0.21, 2.36, 1.45]]
19:38:29.838 XYZ [[0.39, 0.8, 1.46], [0.21, 4.91, 1.55], [0.35, 5.84, 1.64], [0.09, 3.65, 1.51], [0.15, 2.36, 1.47]]
19:38:29.922 XYZ [[0.39, 0.8, 1.46], [0.11, 4.9, 1.58], [0.35, 5.84, 1.64], [0.01, 3.62, 1.51], [0.1, 2.35, 1.47]]
19:38:30.006 XYZ [[0.25, 0.8, 1.54], [0.07, 4.91, 1.6], [0.35, 5.84, 1.64], [-0.06, 3.58, 1.53], [0.02, 2.36, 1.47]]
19:38:30.089 XYZ [[0.17, 0.82, 1.57], [0.02, 4.94, 1.62], [0.08, 5.78, 1.7], [-0.09, 3.58, 1.58], [-0.03, 2.35, 1.5]]
19:38:30.173 XYZ [[0.17, 0.82, 1.57], [-0.04, 4.96, 1.68], [-0.01, 5.81, 1.73], [-0.12, 3.56, 1.62], [-0.02, 2.39, 1.53]]
19:38:30.256 XYZ [[0.08, 0.86, 1.62], [-0.02, 4.97, 1.67], [-0.01, 5.79, 1.73], [-0.15, 3.54, 1.6], [-0.03, 2.39, 1.55]]
19:38:30.340 XYZ [[0.03, 0.89, 1.64], [-0.04, 4.97, 1.65], [-0.01, 5.82, 1.74], [-0.17, 3.51, 1.59], [-0.06, 2.36, 1.56]]
19:38:30.423 XYZ [[0.03, 0.88, 1.64], [-0.08, 4.98, 1.64], [-0.01, 5.84, 1.78], [-0.19, 3.52, 1.61], [-0.05, 2.36, 1.54]]
19:38:30.507 XYZ [[0.01, 0.88, 1.66], [-0.07, 4.97, 1.6], [0.08, 5.88, 1.82], [-0.19, 3.51, 1.58], [-0.0, 2.41, 1.51]]
19:38:30.590 XYZ [[-0.01, 0.89, 1.7], [-0.05, 4.96, 1.6], [0.15, 5.93, 1.72], [-0.2, 3.49, 1.6], [-0.0, 2.44, 1.47]]
19:38:30.674 XYZ [[0.01, 0.9, 1.71], [-0.03, 4.98, 1.61], [0.2, 5.96, 1.72], [-0.18, 3.53, 1.63], [0.02, 2.46, 1.46]]
19:38:30.757 XYZ [[0.06, 0.93, 1.74], [-0.0, 4.99, 1.6], [0.27, 5.98, 1.65], [-0.15, 3.56, 1.6], [0.02, 2.51, 1.46]]
19:38:30.841 XYZ [[0.12, 0.96, 1.72], [0.0, 4.98, 1.61], [0.31, 6.0, 1.59], [-0.12, 3.57, 1.58], [0.05, 2.56, 1.46]]
19:38:30.924 XYZ [[0.18, 0.98, 1.71], [0.04, 4.99, 1.57], [0.34, 6.0, 1.56], [-0.07, 3.59, 1.58], [0.08, 2.57, 1.49]]
19:38:31.007 XYZ [[0.27, 0.97, 1.71], [0.09, 4.99, 1.57], [0.38, 6.01, 1.51], [0.07, 3.57, 1.53], [0.15, 2.63, 1.52]]
19:38:31.091 XYZ [[0.38, 0.94, 1.7], [0.11, 5.0, 1.57], [0.45, 6.04, 1.46], [0.08, 3.61, 1.54], [0.25, 2.64, 1.51]]
19:38:31.174 XYZ [[0.45, 0.95, 1.72], [0.2, 5.01, 1.56], [0.46, 6.05, 1.46], [0.11, 3.62, 1.53], [0.25, 2.63, 1.52]]
19:38:31.258 XYZ [[0.56, 0.97, 1.72], [0.22, 5.01, 1.55], [0.49, 6.08, 1.45], [0.22, 3.67, 1.51], [0.34, 2.64, 1.46]]
19:38:31.341 XYZ [[0.65, 0.96, 1.71], [0.27, 5.03, 1.53], [0.6, 6.1, 1.47], [0.25, 3.69, 1.52], [0.39, 2.66, 1.46]]
19:38:31.425 XYZ [[0.7, 0.94, 1.69], [0.36, 5.05, 1.49], [0.72, 6.1, 1.5], [0.34, 3.74, 1.46], [0.42, 2.65, 1.46]]
19:38:31.508 XYZ [[0.77, 0.98, 1.66], [0.41, 5.06, 1.48], [0.78, 6.1, 1.52], [0.39, 3.8, 1.43], [0.49, 2.62, 1.51]]
