19:49:27.302 XYZ [[2.2, 6.07, 1.57], [3.19, 4.33, 1.31], [0.85, 3.13, 1.51], [1.73, 4.1, 1.21]]
19:49:27.386 XYZ [[2.25, 6.08, 1.57], [3.08, 4.27, 1.33], [0.83, 3.07, 1.51], [1.7, 4.08, 1.21]]
19:49:27.472 XYZ [[2.29, 6.16, 1.58], [2.91, 4.27, 1.26], [0.82, 3.04, 1.52], [1.7, 4.07, 1.25]]
19:49:27.556 XYZ [[2.36, 6.15, 1.56], [2.84, 4.26, 1.22], [0.79, 2.99, 1.51], [1.63, 4.05, 1.22]]
19:49:27.639 XYZ [[2.38, 6.15, 1.57], [2.76, 4.2, 1.22], [0.77, 2.91, 1.51], [1.6, 4.03, 1.24]]
19:49:27.723 XYZ [[2.46, 6.16, 1.59], [2.63, 4.19, 1.22], [0.75, 2.83, 1.53], [1.59, 4.0, 1.2]]
19:49:27.806 XYZ [[2.57, 6.21, 1.58], [2.55, 4.18, 1.23], [0.75, 2.81, 1.51], [1.55, 3.97, 1.16]]
19:49:27.889 XYZ [[2.63, 6.22, 1.57], [2.43, 4.21, 1.21], [0.77, 2.74, 1.5], [1.53, 3.95, 1.17]]
19:49:27.973 XYZ [[2.67, 6.24, 1.56], [2.34, 4.19, 1.24], [0.78, 2.66, 1.52], [1.47, 3.94, 1.18]]
19:49:28.056 XYZ [[2.71, 6.25, 1.57], [2.28, 4.21, 1.27], [0.77, 2.61, 1.53], [1.47, 3.94, 1.2]]
19:49:28.140 XYZ [[2.78, 6.25, 1.53], [2.19, 4.19, 1.26], [0.78, 2.55, 1.54], [1.46, 3.92, 1.24]]
19:49:28.223 XYZ [[2.83, 6.25, 1.53], [2.11, 4.16, 1.26], [0.79, 2.5, 1.55], [1.4, 3.88, 1.25]]
19:49:28.307 XYZ [[2.89, 6.23, 1.56], [2.08, 4.22, 1.26], [0.78, 2.47, 1.54], [1.38, 3.87, 1.26]]
19:49:28.390 XYZ [[2.93, 6.22, 1.57], [2.07, 4.21, 1.21], [0.8, 2.41, 1.53], [1.33, 3.82, 1.29]]
19:49:28.474 XYZ [[2.96, 6.18, 1.65], [2.11, 4.23, 1.19], [0.81, 2.33, 1.51], [1.33, 3.78, 1.34]]
19:49:28.557 XYZ [[2.99, 6.16, 1.7], [2.08, 4.27, 1.18], [0.81, 2.29, 1.5], [1.34, 3.73, 1.34]]
19:49:28.641 XYZ [[3.03, 6.16, 1.74], [2.12, 4.24, 1.25], [0.82, 2.23, 1.49], [1.33, 3.66, 1.34]]
19:49:28.724 XYZ [[3.08, 6.16, 1.78], [2.16, 4.21, 1.21], [0.82, 2.15, 1.53], [1.31, 3.65, 1.34]]
