20:40:25.680 XYZ [[1.09, 0.69, 1.41], [3.78, 4.63, 1.52], [1.97, 2.83, 1.37], [1.5, 1.32, 1.27], [2.26, 2.72, 0.85], [3.12, 5.13, 1.32]]
20:40:25.763 XYZ [[1.07, 0.69, 1.43], [3.81, 4.7, 1.53], [2.0, 2.75, 1.36], [1.51, 1.34, 1.27], [2.31, 2.65, 0.86], [3.08, 5.16, 1.29]]
20:40:25.847 XYZ [[1.07, 0.76, 1.47], [3.82, 4.74, 1.52], [2.02, 2.71, 1.36], [1.49, 1.35, 1.29], [2.33, 2.59, 0.89], [3.05, 5.15, 1.29]]
20:40:25.930 XYZ [[1.07, 0.78, 1.49], [3.85, 4.83, 1.51], [2.09, 2.67, 1.33], [1.46, 1.37, 1.28], [2.34, 2.5, 0.88], [3.01, 5.17, 1.34]]
20:40:26.013 XYZ [[1.07, 0.83, 1.5], [3.85, 4.89, 1.5], [2.15, 2.59, 1.3], [1.46, 1.4, 1.28], [2.35, 2.42, 0.88], [2.96, 5.17, 1.37]]
20:40:26.097 XYZ [[1.1, 0.88, 1.5], [3.83, 4.96, 1.5], [2.24, 2.51, 1.28], [1.43, 1.44, 1.3], [2.37, 2.35, 0.85], [2.92, 5.17, 1.39]]
20:40:26.180 XYZ [[1.14, 0.92, 1.52], [3.81, 4.99, 1.52], [2.27, 2.47, 1.29], [1.45, 1.49, 1.3], [2.37, 2.31, 0.82], [2.83, 5.21, 1.42]]
20:40:26.264 XYZ [[1.16, 0.96, 1.52], [3.79, 5.05, 1.53], [2.35, 2.37, 1.29], [1.45, 1.51, 1.32], [2.4, 2.25, 0.83], [2.81, 5.22, 1.43]]
20:40:26.347 XYZ [[1.19, 1.01, 1.52], [3.72, 5.12, 1.51], [2.38, 2.33, 1.29], [1.46, 1.52, 1.37], [2.45, 2.18, 0.83], [2.79, 5.21, 1.45]]
20:40:26.431 XYZ [[1.2, 1.05, 1.55], [3.69, 5.15, 1.51], [2.42, 2.25, 1.28], [1.47, 1.59, 1.39], [2.45, 2.16, 0.82], [2.74, 5.2, 1.47]]
20:40:26.515 XYZ [[1.21, 1.08, 1.55], [3.66, 5.22, 1.5], [2.44, 2.17, 1.31], [1.47, 1.61, 1.41], [2.48, 2.1, 0.8], [2.75, 5.17, 1.45]]
20:40:26.599 XYZ [[1.23, 1.15, 1.57], [3.64, 5.25, 1.5], [2.45, 2.14, 1.32], [1.48, 1.67, 1.42], [2.5, 2.07, 0.78], [2.76, 5.19, 1.45]]
20:40:26.682 XYZ [[1.24, 1.19, 1.57], [3.61, 5.3, 1.48], [2.47, 2.14, 1.33], [1.49, 1.72, 1.42], [2.54, 2.03, 0.77], [2.78, 5.21, 1.45]]
20:40:26.766 XYZ [[1.26, 1.27, 1.56], [3.59, 5.35, 1.43], [2.47, 2.14, 1.33], [1.5, 1.75, 1.43], [2.57, 1.96, 0.76], [2.78, 5.22, 1.46]]
20:40:26.849 XYZ [[1.28, 1.36, 1.54], [3.58, 5.41, 1.4], [2.56, 2.13, 1.31], [1.52, 1.83, 1.43], [2.57, 1.93, 0.74], [2.79, 5.25, 1.47]]
20:40:26.936 XYZ [[1.3, 1.41, 1.53], [3.54, 5.49, 1.37], [2.61, 2.13, 1.29], [1.55, 1.91, 1.46], [2.57, 1.91, 0.74], [2.83, 5.28, 1.5]]
20:40:27.019 XYZ [[1.32, 1.52, 1.51], [3.51, 5.54, 1.36], [2.68, 2.12, 1.32], [1.58, 1.95, 1.46], [2.6, 1.84, 0.69], [2.82, 5.32, 1.5]]
20:40:27.103 XYZ [[1.34, 1.6, 1.53], [3.47, 5.65, 1.38], [2.72, 2.1, 1.32], [1.59, 2.05, 1.5], [2.6, 1.79, 0.67], [2.8, 5.33, 1.5]]
20:40:27.186 XYZ [[1.36, 1.64, 1.53], [3.46, 5.69, 1.38], [2.77, 2.1, 1.32], [1.63, 2.11, 1.54], [2.58, 1.76, 0.65], [2.76, 5.35, 1.5]]
20:40:27.269 XYZ [[1.43, 1.71, 1.55], [3.41, 5.78, 1.37], [2.86, 2.11, 1.29], [1.67, 2.15, 1.54], [2.56, 1.7, 0.64], [2.75, 5.39, 1.49]]
20:40:27.353 XYZ [[1.47, 1.79, 1.55], [3.38, 5.88, 1.4], [2.95, 2.14, 1.27], [1.76, 2.3, 1.44], [2.52, 1.64, 0.64], [2.71, 5.4, 1.48]]
20:40:27.436 XYZ [[1.5, 1.81, 1.55], [3.35, 5.92, 1.39], [2.97, 2.14, 1.27], [1.81, 2.36, 1.41], [2.52, 1.6, 0.63], [2.68, 5.4, 1.48]]
20:40:27.520 XYZ [[1.57, 1.88, 1.54], [3.27, 5.99, 1.38], [3.07, 2.14, 1.3], [1.89, 2.42, 1.38], [3.0, 1.86, 0.59], [2.62, 5.38, 1.47]]
20:40:27.603 XYZ [[1.63, 1.94, 1.54], [3.21, 6.04, 1.39], [3.14, 2.16, 1.33], [1.96, 2.48, 1.34], [3.37, 2.18, 0.71], [2.61, 5.36, 1.46]]
20:40:27.688 XYZ [[1.69, 2.01, 1.56], [3.18, 6.05, 1.37], [3.2, 2.18, 1.4], [2.06, 2.52, 1.31], [3.45, 2.28, 0.73], [2.58, 5.35, 1.5]]
20:40:27.771 XYZ [[1.72, 2.04, 1.57], [3.08, 6.09, 1.38], [3.28, 2.2, 1.46], [2.12, 2.56, 1.31], [3.59, 2.37, 0.77], [2.54, 5.35, 1.51]]
20:40:27.854 XYZ [[1.76, 2.1, 1.57], [3.0, 6.11, 1.4], [3.37, 2.22, 1.49], [2.17, 2.58, 1.3], [3.73, 2.45, 0.83], [2.49, 5.37, 1.48]]
20:40:27.938 XYZ [[1.81, 2.17, 1.57], [2.96, 6.11, 1.42], [3.4, 2.25, 1.5], [2.22, 2.63, 1.29], [3.81, 2.48, 0.83], [2.49, 5.37, 1.48]]
20:40:28.021 XYZ [[1.84, 2.2, 1.57], [2.9, 6.14, 1.39], [3.47, 2.29, 1.52], [2.25, 2.66, 1.29], [3.85, 2.58, 0.78], [2.42, 5.39, 1.53]]
20:40:28.105 XYZ [[1.91, 2.28, 1.58], [2.85, 6.13, 1.4], [3.52, 2.35, 1.58], [2.3, 2.7, 1.29], [3.89, 2.69, 0.8], [2.41, 5.39, 1.52]]
20:40:28.188 XYZ [[1.96, 2.34, 1.57], [2.81, 6.15, 1.39], [3.54, 2.37, 1.59], [2.36, 2.76, 1.26], [3.95, 2.79, 0.81], [2.39, 5.43, 1.53]]
20:40:28.272 XYZ [[1.99, 2.39, 1.57], [2.78, 6.16, 1.39], [3.57, 2.4, 1.6], [2.39, 2.77, 1.25], [3.98, 2.84, 0.81], [2.36, 5.46, 1.53]]
20:40:28.355 XYZ [[2.04, 2.47, 1.58], [2.73, 6.2, 1.37], [3.65, 2.46, 1.57], [2.48, 2.88, 1.22], [4.03, 2.93, 0.83], [2.36, 5.48, 1.53]]
20:40:28.439 XYZ [[2.1, 2.55, 1.61], [2.64, 6.26, 1.39], [3.69, 2.49, 1.55], [2.57, 2.96, 1.21], [4.04, 2.97, 0.83], [2.33, 5.49, 1.54]]
20:40:28.522 XYZ [[2.13, 2.59, 1.63], [2.62, 6.28, 1.37], [3.82, 2.55, 1.48], [2.6, 3.02, 1.23], [4.07, 3.05, 0.83], [2.34, 5.51, 1.57]]
20:40:28.606 XYZ [[2.2, 2.65, 1.67], [2.58, 6.31, 1.38], [3.93, 2.64, 1.44], [2.63, 3.04, 1.22], [4.04, 3.14, 0.82], [2.31, 5.52, 1.62]]
20:40:28.689 XYZ [[2.26, 2.72, 1.7], [2.55, 6.34, 1.38], [3.97, 2.68, 1.43], [2.65, 3.11, 1.26], [4.06, 3.17, 0.81], [2.32, 5.52, 1.64]]
20:40:28.773 XYZ [[2.29, 2.74, 1.72], [2.49, 6.38, 1.4], [4.06, 2.78, 1.41], [2.67, 3.15, 1.25], [4.09, 3.26, 0.82], [2.32, 5.52, 1.68]]
20:40:28.856 XYZ [[2.36, 2.81, 1.73], [2.46, 6.36, 1.4], [4.11, 2.88, 1.36], [2.74, 3.22, 1.25], [4.09, 3.32, 0.84], [2.31, 5.51, 1.68]]
20:40:28.941 XYZ [[2.38, 2.89, 1.75], [2.42, 6.33, 1.39], [4.15, 2.92, 1.34], [2.77, 3.29, 1.28], [4.08, 3.35, 0.87], [2.29, 5.52, 1.71]]
20:40:29.024 XYZ [[2.43, 2.96, 1.78], [2.39, 6.31, 1.38], [4.2, 3.0, 1.3], [2.77, 3.35, 1.31], [4.09, 3.42, 0.9], [2.26, 5.54, 1.72]]
20:40:29.108 XYZ [[2.45, 2.98, 1.76], [2.34, 6.3, 1.37], [4.26, 3.08, 1.26], [2.79, 3.39, 1.33], [4.1, 3.47, 0.9], [2.22, 5.55, 1.71]]
20:40:29.191 XYZ [[2.47, 3.01, 1.77], [2.29, 6.27, 1.35], [4.27, 3.12, 1.22], [2.82, 3.45, 1.36], [4.1, 3.51, 0.91], [2.16, 5.53, 1.69]]
20:40:29.275 XYZ [[2.49, 3.05, 1.77], [2.28, 6.22, 1.33], [4.26, 3.2, 1.24], [2.86, 3.53, 1.41], [4.02, 3.61, 0.93], [2.14, 5.51, 1.67]]
20:40:29.358 XYZ [[2.49, 3.08, 1.78], [2.25, 6.21, 1.3], [4.24, 3.27, 1.24], [2.87, 3.57, 1.41], [3.99, 3.74, 0.95], [2.12, 5.49, 1.67]]
20:40:29.442 XYZ [[2.51, 3.15, 1.82], [2.15, 6.15, 1.33], [4.24, 3.32, 1.25], [2.89, 3.65, 1.42], [4.0, 3.86, 0.93], [2.09, 5.49, 1.67]]
20:40:29.525 XYZ [[2.52, 3.2, 1.82], [2.1, 6.12, 1.33], [4.26, 3.43, 1.24], [2.88, 3.74, 1.44], [4.01, 3.93, 0.92], [2.05, 5.49, 1.65]]
