20:31:27.579 XYZ [[3.12, 3.79, 1.56], [0.52, 2.24, 1.43], [3.81, 4.67, 1.2], [3.4, 2.97, 0.8], [0.86, 2.1, 0.86], [0.0, 0.0, 0.0]]
20:31:27.662 XYZ [[3.14, 3.75, 1.55], [0.52, 2.21, 1.42], [3.74, 4.72, 1.2], [3.52, 3.02, 0.8], [0.9, 2.02, 0.85], [0.0, 0.0, 0.0]]
20:31:27.745 XYZ [[3.16, 3.72, 1.56], [0.52, 2.15, 1.42], [3.69, 4.77, 1.23], [3.61, 3.0, 0.81], [0.93, 1.95, 0.88], [0.0, 0.0, 0.0]]
20:31:27.829 XYZ [[3.15, 3.66, 1.58], [0.55, 2.1, 1.44], [3.69, 4.81, 1.21], [3.79, 3.02, 0.82], [0.95, 1.91, 0.9], [0.0, 0.0, 0.0]]
20:31:27.912 XYZ [[3.15, 3.61, 1.6], [0.56, 2.06, 1.45], [3.65, 4.87, 1.23], [3.84, 3.12, 0.92], [1.0, 1.84, 0.94], [0.0, 0.0, 0.0]]
20:31:27.996 XYZ [[3.17, 3.56, 1.61], [0.58, 2.01, 1.43], [3.63, 4.92, 1.19], [3.84, 3.16, 0.94], [1.06, 1.77, 0.95], [0.0, 0.0, 0.0]]
20:31:28.079 XYZ [[3.18, 3.54, 1.62], [0.58, 1.94, 1.42], [3.59, 4.94, 1.21], [3.91, 3.22, 0.97], [1.1, 1.76, 0.96], [0.0, 0.0, 0.0]]
20:31:28.163 XYZ [[3.19, 3.51, 1.66], [0.6, 1.9, 1.41], [3.56, 4.94, 1.28], [3.92, 3.28, 0.98], [1.14, 1.72, 0.95], [0.0, 0.0, 0.0]]
20:31:28.247 XYZ [[3.17, 3.48, 1.66], [0.62, 1.83, 1.4], [3.49, 4.97, 1.28], [3.88, 3.29, 0.98], [1.14, 1.69, 0.95], [0.0, 0.0, 0.0]]
20:31:28.331 XYZ [[3.17, 3.43, 1.65], [0.64, 1.75, 1.38], [3.46, 5.0, 1.29], [3.88, 3.29, 0.98], [1.16, 1.67, 0.93], [0.0, 0.0, 0.0]]
20:31:28.414 XYZ [[3.18, 3.41, 1.66], [0.67, 1.66, 1.39], [3.41, 5.06, 1.31], [3.89, 3.34, 1.02], [1.18, 1.62, 0.92], [0.0, 0.0, 0.0]]
20:31:28.498 XYZ [[3.16, 3.37, 1.68], [0.71, 1.62, 1.38], [3.33, 5.07, 1.37], [3.9, 3.36, 1.02], [1.21, 1.56, 0.91], [0.0, 0.0, 0.0]]
20:31:28.582 XYZ [[3.16, 3.35, 1.67], [0.73, 1.54, 1.38], [3.27, 5.08, 1.41], [3.82, 3.34, 1.05], [1.22, 1.52, 0.91], [0.0, 0.0, 0.0]]
20:31:28.666 XYZ [[3.15, 3.27, 1.64], [0.77, 1.47, 1.39], [3.19, 5.08, 1.46], [3.77, 3.28, 1.08], [1.27, 1.43, 0.91], [0.0, 0.0, 0.0]]
20:31:28.749 XYZ [[3.16, 3.2, 1.62], [0.78, 1.44, 1.41], [3.14, 5.09, 1.45], [3.75, 3.27, 1.08], [1.29, 1.38, 0.91], [0.0, 0.0, 0.0]]
20:31:28.833 XYZ [[3.16, 3.19, 1.61], [0.81, 1.36, 1.43], [3.05, 5.11, 1.47], [3.69, 3.22, 1.07], [1.31, 1.36, 0.9], [0.0, 0.0, 0.0]]
20:31:28.916 XYZ [[3.16, 3.13, 1.57], [0.89, 1.3, 1.4], [2.99, 5.12, 1.52], [3.66, 3.17, 1.07], [1.34, 1.33, 0.88], [0.0, 0.0, 0.0]]
20:31:28.999 XYZ [[3.16, 3.1, 1.54], [0.92, 1.29, 1.39], [2.91, 5.13, 1.54], [3.63, 3.15, 1.06], [1.38, 1.31, 0.88], [0.0, 0.0, 0.0]]
20:31:29.083 XYZ [[3.15, 3.06, 1.5], [1.02, 1.25, 1.35], [2.86, 5.14, 1.53], [3.6, 3.11, 1.05], [1.38, 1.3, 0.88], [0.0, 0.0, 0.0]]
20:31:29.166 XYZ [[3.14, 2.99, 1.54], [1.05, 1.26, 1.33], [2.73, 5.13, 1.6], [3.61, 3.08, 1.07], [1.43, 1.29, 0.87], [0.0, 0.0, 0.0]]
20:31:29.250 XYZ [[3.15, 2.92, 1.53], [1.13, 1.25, 1.29], [2.7, 5.14, 1.63], [3.61, 3.06, 1.08], [1.47, 1.3, 0.88], [0.0, 0.0, 0.0]]
20:31:29.333 XYZ [[3.15, 2.88, 1.54], [1.22, 1.24, 1.32], [2.61, 5.18, 1.64], [3.62, 3.06, 1.12], [1.5, 1.31, 0.9], [0.0, 0.0, 0.0]]
20:31:29.419 XYZ [[3.16, 2.83, 1.55], [1.29, 1.25, 1.35], [2.54, 5.22, 1.64], [3.61, 3.07, 1.14], [1.58, 1.33, 0.93], [0.0, 0.0, 0.0]]
20:31:29.502 XYZ [[3.17, 2.77, 1.54], [1.31, 1.26, 1.35], [2.44, 5.28, 1.67], [3.63, 3.1, 1.18], [1.63, 1.34, 0.93], [0.0, 0.0, 0.0]]
20:31:29.586 XYZ [[3.18, 2.73, 1.54], [1.38, 1.25, 1.33], [2.39, 5.32, 1.67], [3.61, 3.1, 1.19], [1.66, 1.34, 0.92], [0.0, 0.0, 0.0]]
20:31:29.669 XYZ [[3.19, 2.69, 1.54], [1.45, 1.25, 1.34], [2.26, 5.37, 1.68], [3.53, 3.1, 1.24], [1.7, 1.31, 0.93], [0.0, 0.0, 0.0]]
20:31:29.753 XYZ [[3.24, 2.59, 1.56], [1.5, 1.27, 1.36], [2.2, 5.38, 1.66], [3.53, 3.08, 1.22], [1.75, 1.28, 0.93], [0.0, 0.0, 0.0]]
20:31:29.836 XYZ [[3.24, 2.59, 1.56], [1.56, 1.27, 1.37], [2.12, 5.35, 1.6], [3.54, 3.09, 1.23], [1.8, 1.26, 0.92], [0.0, 0.0, 0.0]]
