18:05:22.087 XYZ [[5.25, 5.3, 1.76], [2.23, 3.03, 1.42], [3.63, 6.22, 1.92], [1.72, 4.36, 1.92], [3.85, 2.84, -0.63], [3.26, 2.83, 1.82], [5.79, 4.28, 1.6], [5.97, 3.06, 1.98], [1.45, 3.5, 1.34], [-0.23, 5.31, 1.58]]
18:05:22.171 XYZ [[5.24, 5.32, 1.8], [2.2, 3.02, 1.43], [3.61, 6.18, 1.92], [1.7, 4.36, 1.91], [3.78, 2.89, -0.5], [3.23, 2.84, 1.8], [5.79, 4.28, 1.64], [5.76, 3.05, 1.99], [1.41, 3.52, 1.33], [-0.43, 5.32, 1.56]]
18:05:22.255 XYZ [[5.24, 5.31, 1.8], [2.18, 3.01, 1.42], [3.63, 6.16, 1.92], [1.67, 4.38, 1.91], [3.7, 2.88, -0.47], [3.2, 2.86, 1.8], [5.8, 4.3, 1.64], [5.79, 3.07, 1.99], [1.45, 3.52, 1.32], [-0.57, 5.34, 1.55]]
18:05:22.338 XYZ [[5.24, 5.31, 1.81], [2.18, 2.98, 1.4], [3.62, 6.13, 1.94], [1.68, 4.38, 1.91], [3.58, 2.88, -0.65], [3.17, 2.92, 1.79], [5.77, 4.3, 1.63], [5.85, 3.13, 1.97], [1.47, 3.54, 1.33], [-0.65, 5.36, 1.54]]
18:05:22.421 XYZ [[5.29, 5.3, 1.85], [2.17, 2.97, 1.39], [3.64, 6.12, 1.98], [1.72, 4.39, 1.94], [3.45, 2.89, -0.71], [3.14, 2.94, 1.79], [5.76, 4.31, 1.62], [5.85, 3.2, 1.94], [1.53, 3.58, 1.38], [-0.79, 5.37, 1.56]]
18:05:22.505 XYZ [[5.25, 5.31, 1.86], [2.15, 2.92, 1.44], [3.64, 6.12, 1.99], [1.73, 4.42, 1.96], [3.31, 2.81, -0.86], [3.1, 2.88, 1.75], [5.71, 4.31, 1.66], [5.9, 3.23, 1.94], [1.54, 3.58, 1.4], [-0.95, 5.39, 1.56]]
18:05:22.588 XYZ [[5.16, 5.33, 1.88], [2.12, 2.91, 1.42], [3.63, 6.12, 2.02], [1.74, 4.43, 1.96], [3.45, 2.97, -0.77], [3.11, 2.94, 1.77], [5.73, 4.3, 1.67], [5.86, 3.26, 1.93], [1.59, 3.61, 1.4], [-1.03, 5.4, 1.55]]
18:05:22.672 XYZ [[5.17, 5.36, 1.86], [2.11, 2.84, 1.41], [3.69, 6.11, 2.04], [1.77, 4.45, 1.97], [3.45, 3.04, -0.9], [3.18, 2.95, 1.76], [5.74, 4.3, 1.72], [5.89, 3.28, 1.92], [1.68, 3.62, 1.39], [-1.2, 5.42, 1.56]]
18:05:22.755 XYZ [[5.17, 5.35, 1.85], [2.08, 2.82, 1.47], [3.68, 6.12, 2.04], [1.69, 4.51, 2.08], [3.67, 2.95, -0.23], [3.17, 2.91, 1.81], [5.78, 4.27, 1.79], [5.93, 3.27, 1.85], [1.75, 3.6, 1.46], [-1.29, 5.41, 1.58]]
18:05:22.839 XYZ [[5.21, 5.32, 1.84], [2.07, 2.81, 1.5], [3.67, 6.12, 2.06], [1.67, 4.53, 2.05], [3.59, 2.95, -0.29], [3.13, 2.93, 1.81], [5.78, 4.26, 1.81], [6.04, 3.31, 1.79], [1.77, 3.6, 1.46], [1.71, 5.21, 1.68]]
18:05:22.922 XYZ [[5.22, 5.32, 1.81], [2.02, 2.77, 1.48], [3.67, 6.14, 2.04], [1.6, 4.57, 1.99], [3.55, 2.9, -0.16], [3.22, 2.84, 1.85], [5.83, 4.24, 1.84], [6.09, 3.35, 1.74], [1.81, 3.6, 1.48], [1.53, 5.25, 1.76]]
18:05:23.006 XYZ [[5.24, 5.29, 1.79], [2.05, 2.76, 1.45], [3.66, 6.18, 1.97], [1.63, 4.58, 1.88], [3.84, 2.96, 0.55], [3.29, 2.83, 1.86], [5.87, 4.27, 1.87], [6.19, 3.36, 1.82], [1.86, 3.58, 1.47], [1.59, 5.27, 1.77]]
18:05:23.089 XYZ [[5.22, 5.28, 1.78], [2.06, 2.7, 1.45], [3.67, 6.17, 1.95], [1.63, 4.6, 1.85], [4.05, 2.82, 0.98], [3.31, 2.83, 1.85], [5.92, 4.26, 1.87], [6.21, 3.36, 1.82], [1.86, 3.58, 1.47], [1.66, 5.31, 1.78]]
18:05:23.172 XYZ [[5.23, 5.27, 1.78], [2.04, 2.69, 1.53], [3.64, 6.22, 1.9], [1.63, 4.6, 1.85], [4.12, 2.79, 1.1], [3.34, 2.84, 1.82], [5.93, 4.27, 1.88], [6.03, 3.31, 1.71], [1.86, 3.58, 1.47], [1.83, 5.37, 1.81]]
18:05:23.258 XYZ [[5.22, 5.28, 1.79], [2.02, 2.69, 1.52], [3.63, 6.22, 1.91], [1.64, 4.62, 1.79], [4.19, 2.76, 1.29], [3.35, 2.86, 1.81], [5.9, 4.3, 1.81], [5.96, 3.36, 1.72], [1.86, 3.58, 1.47], [1.88, 5.37, 1.81]]
18:05:23.345 XYZ [[5.2, 5.31, 1.85], [2.05, 2.67, 1.51], [3.63, 6.23, 1.91], [1.63, 4.64, 1.76], [4.19, 2.8, 1.32], [3.42, 2.84, 1.74], [5.85, 4.31, 1.85], [5.98, 3.38, 1.71], [1.95, 3.56, 1.53], [1.89, 5.38, 1.8]]
18:05:23.428 XYZ [[5.2, 5.3, 1.85], [2.02, 2.65, 1.5], [3.62, 6.23, 1.9], [1.65, 4.65, 1.75], [4.11, 2.81, 1.28], [3.39, 2.85, 1.71], [5.84, 4.29, 1.82], [6.03, 3.36, 1.7], [2.0, 3.56, 1.54], [1.92, 5.38, 1.8]]
18:05:23.512 XYZ [[5.21, 5.3, 1.86], [2.01, 2.64, 1.51], [3.63, 6.24, 1.9], [1.65, 4.65, 1.75], [4.09, 2.85, 1.29], [3.41, 2.87, 1.67], [5.84, 4.28, 1.83], [6.04, 3.34, 1.63], [2.03, 3.55, 1.52], [1.98, 5.42, 1.78]]
18:05:23.598 XYZ [[5.2, 5.32, 1.85], [1.98, 2.63, 1.48], [3.62, 6.26, 1.9], [1.65, 4.66, 1.74], [4.1, 2.86, 1.32], [3.42, 2.88, 1.65], [5.78, 4.29, 1.79], [6.04, 3.34, 1.63], [2.06, 3.57, 1.54], [1.99, 5.42, 1.78]]
18:05:23.681 XYZ [[5.2, 5.31, 1.86], [1.95, 2.64, 1.5], [3.6, 6.28, 1.93], [1.65, 4.67, 1.73], [4.07, 2.88, 1.34], [3.42, 2.88, 1.6], [5.81, 4.28, 1.81], [6.25, 3.41, 1.51], [2.1, 3.55, 1.56], [2.0, 5.44, 1.8]]
18:05:23.765 XYZ [[5.22, 5.29, 1.86], [1.96, 2.63, 1.48], [3.57, 6.29, 1.92], [1.66, 4.68, 1.68], [4.04, 2.91, 1.34], [3.43, 2.85, 1.55], [5.82, 4.28, 1.81], [5.96, 3.41, 1.51], [2.16, 3.53, 1.59], [2.02, 5.44, 1.79]]
18:05:23.848 XYZ [[5.23, 5.29, 1.83], [1.94, 2.61, 1.5], [3.58, 6.29, 1.91], [1.57, 4.7, 1.71], [3.98, 2.87, 1.41], [3.49, 2.81, 1.68], [5.8, 4.26, 1.77], [5.91, 3.41, 1.52], [2.2, 3.54, 1.58], [2.05, 5.44, 1.74]]
18:05:23.932 XYZ [[5.23, 5.28, 1.84], [1.92, 2.59, 1.48], [3.62, 6.33, 1.9], [1.59, 4.7, 1.67], [3.95, 2.85, 1.45], [3.47, 2.85, 1.69], [5.79, 4.25, 1.76], [5.95, 3.41, 1.52], [2.22, 3.54, 1.58], [2.07, 5.46, 1.74]]
18:05:24.015 XYZ [[5.24, 5.27, 1.83], [1.89, 2.55, 1.45], [3.65, 6.33, 1.92], [1.54, 4.7, 1.64], [3.94, 2.93, 1.46], [3.44, 2.85, 1.68], [5.8, 4.24, 1.77], [5.95, 3.43, 1.54], [2.22, 3.54, 1.58], [2.1, 5.46, 1.72]]
18:05:24.099 XYZ [[5.25, 5.26, 1.83], [1.87, 2.54, 1.47], [3.68, 6.36, 1.93], [1.49, 4.68, 1.64], [3.92, 2.94, 1.47], [3.4, 2.86, 1.7], [5.82, 4.27, 1.81], [5.97, 3.42, 1.54], [2.29, 3.56, 1.56], [2.12, 5.47, 1.7]]
18:05:24.182 XYZ [[5.23, 5.24, 1.82], [1.87, 2.5, 1.49], [3.68, 6.35, 1.92], [1.45, 4.67, 1.65], [3.8, 2.91, 1.46], [3.39, 2.86, 1.73], [5.83, 4.27, 1.8], [5.99, 3.44, 1.53], [2.31, 3.56, 1.57], [2.13, 5.45, 1.72]]
18:05:24.265 XYZ [[5.25, 5.25, 1.83], [1.88, 2.45, 1.55], [3.68, 6.35, 1.92], [1.43, 4.64, 1.63], [3.8, 2.96, 1.48], [3.4, 2.87, 1.71], [5.88, 4.24, 1.79], [5.97, 3.43, 1.48], [2.24, 3.55, 1.58], [2.1, 5.41, 1.75]]
18:05:24.349 XYZ [[5.22, 5.25, 1.88], [1.9, 2.36, 1.65], [3.71, 6.33, 1.91], [1.4, 4.61, 1.64], [3.8, 2.96, 1.48], [3.35, 2.85, 1.73], [5.92, 4.21, 1.78], [5.83, 3.34, 1.45], [2.24, 3.57, 1.57], [2.12, 5.4, 1.75]]
18:05:24.432 XYZ [[5.22, 5.25, 1.87], [1.88, 2.34, 1.64], [3.72, 6.33, 1.89], [1.4, 4.61, 1.64], [3.8, 2.96, 1.48], [3.34, 2.84, 1.74], [5.91, 4.19, 1.79], [5.81, 3.31, 1.48], [2.24, 3.57, 1.57], [2.12, 5.4, 1.75]]
18:05:24.516 XYZ [[5.26, 5.25, 1.88], [1.88, 2.27, 1.6], [3.74, 6.34, 1.89], [1.39, 4.56, 1.62], [3.8, 2.96, 1.48], [3.32, 2.88, 1.7], [5.92, 4.19, 1.76], [5.81, 3.31, 1.49], [2.18, 3.6, 1.59], [2.12, 5.4, 1.75]]
