19:17:18.211 XYZ [[2.3, 4.96, 1.5], [2.41, 2.77, 1.36]]
19:17:28.821 XYZ [[0.0, 0.0, 0.0], [2.31, 6.23, 1.59], [2.32, 4.95, 1.44], [2.3, 2.77, 1.37], [2.29, 3.9, 1.63]]
19:17:28.905 XYZ [[0.0, 0.0, 0.0], [2.31, 6.23, 1.58], [2.33, 4.95, 1.43], [2.31, 2.77, 1.38], [2.28, 3.9, 1.64]]
19:17:28.988 XYZ [[0.0, 0.0, 0.0], [2.29, 6.23, 1.6], [2.33, 4.95, 1.43], [2.31, 2.77, 1.38], [2.29, 3.89, 1.65]]
19:17:29.072 XYZ [[0.0, 0.0, 0.0], [2.28, 6.21, 1.59], [2.34, 4.95, 1.44], [2.32, 2.77, 1.37], [2.28, 3.89, 1.64]]
19:17:29.155 XYZ [[0.0, 0.0, 0.0], [2.27, 6.21, 1.58], [2.33, 4.95, 1.43], [2.31, 2.78, 1.37], [2.28, 3.9, 1.64]]
19:17:29.238 XYZ [[0.0, 0.0, 0.0], [2.27, 6.2, 1.61], [2.33, 4.94, 1.45], [2.33, 2.78, 1.38], [2.29, 3.91, 1.66]]
19:17:29.322 XYZ [[0.0, 0.0, 0.0], [2.26, 6.19, 1.61], [2.33, 4.93, 1.46], [2.35, 2.76, 1.38], [2.29, 3.91, 1.67]]
19:17:29.405 XYZ [[0.0, 0.0, 0.0], [2.27, 6.19, 1.6], [2.33, 4.93, 1.45], [2.36, 2.76, 1.39], [2.3, 3.91, 1.67]]
19:17:29.489 XYZ [[0.0, 0.0, 0.0], [2.29, 6.19, 1.61], [2.33, 4.93, 1.45], [2.36, 2.76, 1.39], [2.3, 3.91, 1.66]]
19:17:29.572 XYZ [[0.0, 0.0, 0.0], [2.27, 6.17, 1.63], [2.32, 4.93, 1.45], [2.35, 2.76, 1.38], [2.3, 3.9, 1.67]]
19:17:29.656 XYZ [[0.0, 0.0, 0.0], [2.28, 6.18, 1.64], [2.35, 4.92, 1.42], [2.35, 2.75, 1.35], [2.31, 3.9, 1.67]]
19:17:29.739 XYZ [[0.0, 0.0, 0.0], [2.26, 6.18, 1.64], [2.34, 4.92, 1.42], [2.34, 2.74, 1.35], [2.3, 3.91, 1.66]]
19:17:29.823 XYZ [[0.0, 0.0, 0.0], [2.26, 6.17, 1.61], [2.34, 4.92, 1.43], [2.34, 2.74, 1.33], [2.3, 3.9, 1.67]]
19:17:29.906 XYZ [[0.0, 0.0, 0.0], [2.26, 6.17, 1.61], [2.35, 4.92, 1.43], [2.34, 2.74, 1.31], [2.31, 3.89, 1.67]]
