19:25:26.133 XYZ [[0.0, 0.0, 0.0], [3.3, 6.19, 1.88], [3.22, 5.04, 1.57], [3.34, 2.91, 1.47], [3.45, 3.84, 1.34]]
19:25:26.220 XYZ [[0.0, 0.0, 0.0], [3.39, 6.19, 1.91], [3.35, 5.0, 1.57], [3.37, 2.91, 1.47], [3.52, 3.82, 1.33]]
19:25:26.303 XYZ [[0.0, 0.0, 0.0], [3.42, 6.21, 1.93], [3.46, 5.02, 1.57], [3.43, 2.88, 1.48], [3.55, 3.81, 1.32]]
19:25:26.387 XYZ [[0.0, 0.0, 0.0], [3.49, 6.21, 1.91], [3.49, 5.02, 1.58], [3.53, 2.88, 1.48], [3.66, 3.78, 1.35]]
19:25:26.470 XYZ [[0.0, 0.0, 0.0], [3.55, 6.2, 1.9], [3.57, 5.05, 1.55], [3.57, 2.89, 1.47], [3.76, 3.77, 1.32]]
19:25:26.554 XYZ [[0.0, 0.0, 0.0], [3.6, 6.18, 1.91], [3.67, 5.09, 1.46], [3.64, 2.86, 1.47], [3.79, 3.78, 1.33]]
19:25:26.637 XYZ [[0.0, 0.0, 0.0], [3.65, 6.19, 1.89], [3.72, 5.09, 1.47], [3.69, 2.86, 1.48], [3.83, 3.79, 1.35]]
19:25:26.721 XYZ [[0.0, 0.0, 0.0], [3.7, 6.19, 1.9], [3.81, 5.1, 1.44], [3.73, 2.85, 1.49], [3.83, 3.77, 1.35]]
19:25:26.805 XYZ [[0.0, 0.0, 0.0], [3.79, 6.2, 1.9], [3.88, 5.09, 1.47], [3.77, 2.84, 1.46], [3.82, 3.79, 1.41]]
19:25:26.888 XYZ [[0.0, 0.0, 0.0], [3.85, 6.18, 1.9], [3.91, 5.09, 1.46], [3.76, 2.82, 1.44], [3.87, 3.81, 1.42]]
19:25:26.972 XYZ [[0.0, 0.0, 0.0], [3.88, 6.17, 1.9], [3.97, 5.07, 1.4], [3.78, 2.82, 1.4], [3.91, 3.82, 1.39]]
19:25:27.055 XYZ [[0.0, 0.0, 0.0], [3.91, 6.13, 1.88], [4.06, 5.06, 1.4], [3.8, 2.83, 1.4], [3.99, 3.84, 1.39]]
19:25:27.139 XYZ [[0.0, 0.0, 0.0], [3.92, 6.09, 1.82], [4.08, 5.04, 1.4], [3.84, 2.86, 1.4], [4.05, 3.87, 1.41]]
19:25:27.222 XYZ [[0.0, 0.0, 0.0], [3.94, 6.06, 1.78], [4.12, 5.05, 1.4], [3.85, 2.87, 1.4], [4.07, 3.88, 1.43]]
19:25:27.306 XYZ [[0.0, 0.0, 0.0], [3.95, 6.05, 1.76], [4.14, 5.06, 1.47], [3.89, 2.88, 1.4], [4.09, 3.89, 1.46]]
19:25:27.389 XYZ [[0.0, 0.0, 0.0], [3.97, 6.06, 1.75], [4.12, 5.04, 1.49], [3.93, 2.89, 1.41], [4.1, 3.91, 1.49]]
19:25:27.473 XYZ [[0.0, 0.0, 0.0], [4.02, 6.08, 1.75], [4.15, 5.05, 1.52], [3.93, 2.9, 1.43], [4.11, 3.94, 1.55]]
19:25:27.556 XYZ [[0.0, 0.0, 0.0], [4.02, 6.08, 1.73], [4.2, 5.07, 1.54], [3.91, 2.9, 1.5], [4.11, 3.95, 1.56]]
19:25:27.640 XYZ [[0.0, 0.0, 0.0], [4.09, 6.1, 1.71], [4.19, 5.07, 1.52], [3.88, 2.92, 1.61], [4.16, 3.98, 1.61]]
19:25:27.723 XYZ [[0.0, 0.0, 0.0], [4.15, 6.14, 1.68], [4.2, 5.07, 1.54], [3.87, 2.93, 1.65], [4.15, 4.0, 1.62]]
19:25:27.808 XYZ [[0.0, 0.0, 0.0], [4.17, 6.16, 1.67], [4.22, 5.09, 1.55], [3.88, 2.97, 1.7], [4.16, 4.03, 1.69]]
19:25:27.892 XYZ [[0.0, 0.0, 0.0], [4.27, 6.18, 1.67], [4.24, 5.1, 1.56], [3.96, 3.01, 1.72], [4.19, 4.04, 1.74]]
