20:03:23.109 XYZ [[2.88, -1.22, 1.23], [2.38, 4.86, 1.4], [0.8, 2.08, 1.44], [2.76, 3.47, 1.54], [0.0, 0.0, 0.0], [2.57, 0.14, 1.07], [0.0, 0.0, 0.0], [2.64, 3.86, 0.67], [0.48, 1.66, 1.33], [2.92, 3.78, 1.36]]
20:03:23.192 XYZ [[2.87, -1.14, 1.24], [2.33, 4.86, 1.39], [0.86, 2.05, 1.42], [2.79, 3.55, 1.55], [0.0, 0.0, 0.0], [2.56, 0.14, 1.06], [0.0, 0.0, 0.0], [2.65, 3.82, 0.68], [0.51, 1.63, 1.36], [2.95, 3.87, 1.41]]
20:03:23.276 XYZ [[2.87, -1.06, 1.23], [2.17, 4.86, 1.38], [0.94, 2.04, 1.45], [2.82, 3.62, 1.55], [0.0, 0.0, 0.0], [2.59, 0.16, 1.08], [0.0, 0.0, 0.0], [2.46, 4.01, 0.71], [0.6, 1.53, 1.34], [2.98, 3.95, 1.38]]
20:03:23.359 XYZ [[2.87, -1.06, 1.23], [2.17, 4.86, 1.38], [0.94, 2.04, 1.45], [2.82, 3.62, 1.55], [0.0, 0.0, 0.0], [2.58, 0.16, 1.07], [0.0, 0.0, 0.0], [2.22, 4.13, 0.78], [0.6, 1.53, 1.34], [2.99, 4.0, 1.36]]
20:03:23.443 XYZ [[2.87, -1.04, 1.23], [2.12, 4.84, 1.41], [0.99, 2.02, 1.44], [2.85, 3.66, 1.54], [0.0, 0.0, 0.0], [2.58, 0.16, 1.07], [0.0, 0.0, 0.0], [2.1, 4.18, 0.79], [0.62, 1.5, 1.33], [2.99, 4.07, 1.35]]
20:03:23.526 XYZ [[2.86, -0.96, 1.24], [2.12, 4.84, 1.41], [1.08, 1.98, 1.43], [2.88, 3.72, 1.5], [0.0, 0.0, 0.0], [2.59, 0.17, 1.09], [0.0, 0.0, 0.0], [1.92, 4.19, 0.75], [0.7, 1.41, 1.32], [3.02, 4.12, 1.36]]
20:03:23.610 XYZ [[2.87, -0.91, 1.22], [1.87, 4.74, 1.33], [1.14, 1.95, 1.41], [2.9, 3.79, 1.48], [0.0, 0.0, 0.0], [2.57, 0.18, 1.08], [0.0, 0.0, 0.0], [1.81, 4.18, 0.76], [0.74, 1.34, 1.31], [2.96, 4.21, 1.34]]
20:03:23.693 XYZ [[2.86, -0.85, 1.2], [1.83, 4.69, 1.31], [1.14, 1.95, 1.41], [2.9, 3.83, 1.45], [0.0, 0.0, 0.0], [2.56, 0.2, 1.05], [0.0, 0.0, 0.0], [1.76, 4.17, 0.77], [0.75, 1.3, 1.32], [2.95, 4.25, 1.33]]
20:03:23.777 XYZ [[2.86, -0.77, 1.18], [1.75, 4.63, 1.35], [1.28, 1.9, 1.4], [2.9, 3.92, 1.38], [0.0, 0.0, 0.0], [2.55, 0.19, 1.06], [0.0, 0.0, 0.0], [1.69, 4.15, 0.76], [0.83, 1.26, 1.35], [2.93, 4.34, 1.27]]
20:03:23.860 XYZ [[2.87, -0.75, 1.19], [1.72, 4.61, 1.36], [1.35, 1.87, 1.41], [2.91, 3.96, 1.36], [0.0, 0.0, 0.0], [2.57, 0.2, 1.06], [0.0, 0.0, 0.0], [1.67, 4.11, 0.74], [0.85, 1.23, 1.34], [2.92, 4.38, 1.27]]
