19:04:13.150 XYZ [[2.11, 2.95, 1.3], [3.47, -1.22, 1.69], [3.04, 3.42, 1.42], [2.44, 4.29, 1.47], [1.53, 3.78, 1.57]]
19:04:13.233 XYZ [[2.11, 2.96, 1.29], [3.46, -1.23, 1.69], [3.06, 3.45, 1.41], [2.46, 4.27, 1.46], [1.52, 3.77, 1.59]]
19:04:13.317 XYZ [[2.11, 2.97, 1.29], [3.45, -1.21, 1.68], [3.07, 3.45, 1.41], [2.5, 4.25, 1.42], [1.49, 3.76, 1.58]]
19:04:13.400 XYZ [[2.12, 2.98, 1.29], [3.44, -1.22, 1.68], [3.07, 3.45, 1.41], [2.52, 4.26, 1.41], [1.48, 3.76, 1.55]]
19:04:13.484 XYZ [[2.14, 2.98, 1.27], [3.46, -1.19, 1.69], [3.11, 3.46, 1.45], [2.52, 4.26, 1.41], [1.45, 3.76, 1.55]]
19:04:13.567 XYZ [[2.15, 2.98, 1.28], [3.43, -1.16, 1.68], [3.11, 3.46, 1.44], [2.52, 4.25, 1.39], [1.45, 3.76, 1.54]]
19:04:13.650 XYZ [[2.17, 3.0, 1.29], [3.41, -1.17, 1.69], [3.12, 3.47, 1.44], [2.52, 4.25, 1.39], [1.41, 3.76, 1.52]]
19:04:13.734 XYZ [[2.16, 2.98, 1.29], [3.41, -1.17, 1.69], [3.16, 3.47, 1.44], [2.5, 4.21, 1.27], [1.42, 3.76, 1.5]]
19:04:13.817 XYZ [[2.16, 2.97, 1.33], [3.41, -1.17, 1.69], [3.18, 3.46, 1.45], [2.49, 4.21, 1.27], [1.42, 3.76, 1.49]]
19:04:13.901 XYZ [[2.14, 2.98, 1.35], [3.4, -1.17, 1.7], [3.21, 3.44, 1.47], [2.46, 4.21, 1.27], [1.44, 3.77, 1.5]]
19:04:13.984 XYZ [[2.12, 2.98, 1.32], [3.37, -1.16, 1.7], [3.23, 3.43, 1.55], [2.44, 4.22, 1.26], [1.44, 3.78, 1.49]]
19:04:14.068 XYZ [[2.13, 2.98, 1.32], [3.37, -1.16, 1.7], [3.25, 3.44, 1.58], [2.44, 4.22, 1.26], [1.44, 3.79, 1.49]]
19:04:14.151 XYZ [[2.12, 2.99, 1.32], [3.36, -1.19, 1.71], [3.26, 3.44, 1.6], [2.44, 4.22, 1.26], [1.45, 3.8, 1.48]]
19:04:14.235 XYZ [[2.13, 2.99, 1.34], [3.35, -1.21, 1.7], [3.31, 3.41, 1.64], [2.44, 4.22, 1.26], [1.48, 3.8, 1.49]]
19:04:14.318 XYZ [[2.13, 2.98, 1.34], [3.31, -1.24, 1.7], [3.32, 3.42, 1.67], [2.42, 4.22, 1.25], [1.49, 3.8, 1.48]]
19:04:14.402 XYZ [[2.13, 2.98, 1.33], [3.27, -1.22, 1.68], [3.3, 3.43, 1.69], [2.41, 4.23, 1.26], [1.51, 3.81, 1.48]]
19:04:14.485 XYZ [[2.13, 2.97, 1.34], [3.25, -1.2, 1.67], [3.31, 3.42, 1.72], [2.39, 4.23, 1.25], [1.55, 3.81, 1.48]]
19:04:14.569 XYZ [[2.13, 2.97, 1.34], [3.22, -1.19, 1.63], [3.34, 3.43, 1.72], [2.39, 4.25, 1.26], [1.55, 3.81, 1.48]]
19:04:14.652 XYZ [[2.12, 2.97, 1.34], [3.19, -1.17, 1.63], [3.35, 3.43, 1.72], [2.38, 4.26, 1.28], [1.58, 3.81, 1.48]]
19:04:14.736 XYZ [[2.1, 2.95, 1.34], [3.14, -1.14, 1.65], [3.34, 3.42, 1.75], [2.38, 4.27, 1.27], [1.58, 3.81, 1.53]]
19:04:14.819 XYZ [[2.09, 2.95, 1.34], [3.12, -1.11, 1.6], [3.33, 3.4, 1.76], [2.37, 4.27, 1.26], [1.56, 3.8, 1.51]]
19:04:14.902 XYZ [[2.07, 2.95, 1.34], [3.14, -0.99, 1.57], [3.34, 3.38, 1.78], [2.35, 4.29, 1.26], [1.54, 3.79, 1.51]]
19:04:14.986 XYZ [[2.07, 2.96, 1.35], [3.16, -0.94, 1.6], [3.34, 3.39, 1.8], [2.36, 4.31, 1.28], [1.57, 3.79, 1.5]]
19:04:15.069 XYZ [[2.07, 2.96, 1.35], [3.18, -0.8, 1.65], [3.35, 3.37, 1.81], [2.36, 4.33, 1.32], [1.57, 3.79, 1.48]]
19:04:15.153 XYZ [[2.06, 2.95, 1.34], [3.21, -0.68, 1.63], [3.38, 3.36, 1.82], [2.35, 4.34, 1.32], [1.59, 3.81, 1.5]]
19:04:15.236 XYZ [[2.05, 2.96, 1.33], [3.22, -0.57, 1.63], [3.38, 3.37, 1.83], [2.35, 4.35, 1.33], [1.6, 3.83, 1.49]]
19:04:15.320 XYZ [[2.05, 2.96, 1.32], [3.27, -0.39, 1.56], [3.37, 3.34, 1.86], [2.35, 4.35, 1.33], [1.6, 3.84, 1.5]]
19:04:15.403 XYZ [[2.07, 2.97, 1.31], [3.32, -0.2, 1.47], [3.35, 3.34, 1.84], [2.38, 4.36, 1.34], [1.63, 3.86, 1.51]]
19:04:15.487 XYZ [[2.05, 2.95, 1.31], [3.34, -0.12, 1.44], [3.36, 3.31, 1.87], [2.38, 4.37, 1.34], [1.63, 3.85, 1.52]]
19:04:15.570 XYZ [[2.04, 2.95, 1.29], [3.38, -0.02, 1.39], [3.35, 3.32, 1.88], [2.38, 4.37, 1.35], [1.62, 3.85, 1.54]]
19:04:15.655 XYZ [[2.04, 2.96, 1.29], [3.42, 0.09, 1.36], [3.32, 3.33, 1.85], [2.38, 4.38, 1.37], [1.61, 3.85, 1.55]]
19:04:15.739 XYZ [[2.03, 2.96, 1.29], [3.42, 0.14, 1.37], [3.36, 3.33, 1.86], [2.37, 4.38, 1.39], [1.58, 3.84, 1.59]]
19:04:15.822 XYZ [[2.04, 2.96, 1.28], [3.46, 0.21, 1.36], [3.36, 3.34, 1.88], [2.36, 4.37, 1.41], [1.58, 3.84, 1.59]]
19:04:15.906 XYZ [[2.02, 2.95, 1.29], [3.48, 0.29, 1.37], [3.36, 3.35, 1.89], [2.34, 4.37, 1.42], [1.59, 3.84, 1.58]]
19:04:15.989 XYZ [[2.02, 2.94, 1.28], [3.52, 0.45, 1.38], [3.39, 3.36, 1.91], [2.34, 4.37, 1.42], [1.6, 3.83, 1.57]]
19:04:16.073 XYZ [[2.01, 2.94, 1.28], [3.5, 0.55, 1.38], [3.37, 3.36, 1.85], [2.35, 4.37, 1.43], [1.59, 3.83, 1.57]]
19:04:16.156 XYZ [[2.02, 2.93, 1.29], [3.45, 0.6, 1.41], [3.37, 3.38, 1.82], [2.35, 4.35, 1.45], [1.59, 3.84, 1.57]]
19:04:16.240 XYZ [[2.01, 2.92, 1.31], [3.44, 0.63, 1.42], [3.36, 3.38, 1.81], [2.36, 4.33, 1.48], [1.57, 3.85, 1.56]]
19:04:16.323 XYZ [[2.01, 2.92, 1.31], [3.43, 0.72, 1.43], [3.36, 3.39, 1.8], [2.36, 4.35, 1.49], [1.57, 3.85, 1.57]]
19:04:16.407 XYZ [[2.01, 2.92, 1.31], [3.45, 0.8, 1.44], [3.33, 3.42, 1.75], [2.37, 4.35, 1.51], [1.58, 3.84, 1.56]]
19:04:16.490 XYZ [[2.02, 2.92, 1.34], [3.45, 0.84, 1.44], [3.31, 3.43, 1.78], [2.34, 4.36, 1.54], [1.58, 3.85, 1.56]]
19:04:16.573 XYZ [[2.04, 2.92, 1.35], [3.47, 0.93, 1.43], [3.3, 3.43, 1.8], [2.35, 4.35, 1.55], [1.58, 3.85, 1.56]]
19:04:16.657 XYZ [[2.04, 2.92, 1.36], [3.54, 1.04, 1.4], [3.27, 3.43, 1.76], [2.35, 4.35, 1.54], [1.58, 3.85, 1.56]]
19:04:16.740 XYZ [[2.05, 2.92, 1.36], [3.56, 1.1, 1.38], [3.23, 3.45, 1.67], [2.35, 4.35, 1.54], [1.54, 3.83, 1.55]]
