00:45:24.187 XYZ [[2.11, 3.88, 1.66], [1.02, 3.75, 1.61], [1.81, 3.04, 1.46], [1.83, 5.29, 1.55], [0.0, 0.0, 0.0], [0.51, 4.4, 1.5], [1.43, 5.48, 1.56], [2.57, 3.64, 1.73], [1.2, 5.02, 1.22], [3.35, 4.04, 1.44]]
00:45:24.270 XYZ [[2.11, 3.92, 1.66], [1.01, 3.77, 1.59], [1.79, 3.03, 1.48], [1.9, 5.31, 1.56], [0.0, 0.0, 0.0], [0.49, 4.42, 1.5], [1.43, 5.48, 1.56], [2.53, 3.63, 1.71], [1.19, 5.05, 1.23], [3.36, 4.01, 1.44]]
00:45:24.354 XYZ [[2.1, 3.98, 1.63], [1.01, 3.78, 1.58], [1.73, 2.99, 1.5], [1.96, 5.32, 1.58], [0.0, 0.0, 0.0], [0.45, 4.46, 1.46], [1.42, 5.51, 1.58], [2.42, 3.62, 1.69], [1.18, 5.09, 1.27], [3.37, 3.96, 1.42]]
00:45:24.437 XYZ [[2.08, 4.05, 1.65], [1.01, 3.78, 1.57], [1.63, 2.94, 1.52], [1.98, 5.32, 1.57], [0.0, 0.0, 0.0], [0.4, 4.46, 1.42], [1.44, 5.5, 1.59], [2.33, 3.62, 1.68], [1.12, 5.11, 1.25], [3.37, 3.88, 1.38]]
00:45:24.520 XYZ [[2.07, 4.11, 1.65], [1.01, 3.79, 1.55], [1.61, 2.95, 1.51], [2.01, 5.35, 1.57], [0.0, 0.0, 0.0], [0.4, 4.45, 1.39], [1.44, 5.5, 1.59], [2.27, 3.63, 1.67], [1.11, 5.12, 1.25], [3.37, 3.79, 1.35]]
00:45:24.604 XYZ [[2.06, 4.15, 1.67], [1.02, 3.79, 1.56], [1.55, 2.95, 1.54], [2.03, 5.35, 1.57], [0.0, 0.0, 0.0], [0.42, 4.39, 1.27], [1.52, 5.49, 1.58], [2.19, 3.64, 1.65], [1.13, 5.15, 1.27], [3.32, 3.73, 1.34]]
00:45:24.687 XYZ [[2.02, 4.22, 1.67], [1.01, 3.8, 1.54], [1.49, 2.97, 1.59], [2.07, 5.38, 1.55], [0.0, 0.0, 0.0], [0.42, 4.39, 1.16], [1.56, 5.48, 1.59], [2.12, 3.64, 1.61], [1.15, 5.18, 1.25], [3.35, 3.63, 1.38]]
00:45:24.771 XYZ [[2.03, 4.28, 1.64], [1.02, 3.79, 1.5], [1.34, 2.96, 1.54], [2.11, 5.41, 1.58], [0.0, 0.0, 0.0], [0.39, 4.36, 1.0], [1.6, 5.48, 1.58], [2.08, 3.63, 1.6], [1.14, 5.21, 1.26], [3.34, 3.53, 1.39]]
00:45:24.854 XYZ [[2.02, 4.31, 1.63], [1.03, 3.78, 1.5], [1.27, 2.97, 1.56], [2.18, 5.41, 1.6], [0.0, 0.0, 0.0], [0.4, 4.35, 0.99], [1.66, 5.48, 1.56], [2.02, 3.59, 1.64], [1.15, 5.25, 1.31], [3.34, 3.47, 1.41]]
00:45:24.938 XYZ [[2.0, 4.39, 1.59], [1.02, 3.78, 1.48], [1.22, 2.96, 1.55], [2.2, 5.41, 1.6], [0.0, 0.0, 0.0], [0.4, 4.34, 0.97], [1.7, 5.47, 1.55], [1.98, 3.57, 1.63], [1.16, 5.27, 1.33], [3.37, 3.33, 1.42]]
00:45:25.021 XYZ [[1.96, 4.43, 1.59], [1.03, 3.76, 1.5], [1.18, 3.03, 1.55], [2.24, 5.42, 1.59], [0.0, 0.0, 0.0], [0.45, 4.35, 0.95], [1.77, 5.45, 1.56], [1.94, 3.52, 1.6], [1.21, 5.27, 1.41], [3.37, 3.21, 1.41]]
00:45:25.105 XYZ [[1.93, 4.46, 1.59], [1.05, 3.75, 1.49], [1.18, 3.15, 1.55], [2.24, 5.42, 1.59], [0.0, 0.0, 0.0], [0.47, 4.36, 0.92], [1.83, 5.41, 1.57], [1.91, 3.53, 1.6], [1.26, 5.27, 1.45], [3.32, 3.14, 1.4]]
00:45:25.192 XYZ [[1.94, 4.45, 1.57], [1.1, 3.78, 1.55], [1.12, 3.27, 1.6], [2.24, 5.42, 1.59], [0.0, 0.0, 0.0], [0.59, 4.4, 0.96], [1.87, 5.37, 1.58], [1.87, 3.52, 1.56], [1.33, 5.26, 1.47], [3.3, 3.01, 1.37]]
00:45:25.275 XYZ [[1.94, 4.45, 1.57], [1.1, 3.78, 1.55], [1.12, 3.27, 1.6], [2.24, 5.42, 1.59], [0.0, 0.0, 0.0], [0.59, 4.4, 0.96], [1.89, 5.34, 1.61], [1.82, 3.55, 1.55], [1.33, 5.26, 1.47], [3.22, 2.84, 1.35]]
00:45:25.359 XYZ [[1.94, 4.45, 1.57], [1.18, 3.78, 1.54], [1.12, 3.42, 1.63], [2.45, 5.34, 1.59], [0.0, 0.0, 0.0], [0.59, 4.4, 0.96], [1.96, 5.31, 1.63], [1.78, 3.54, 1.55], [1.36, 5.25, 1.46], [3.22, 2.84, 1.35]]
00:45:25.442 XYZ [[1.96, 4.42, 1.59], [1.22, 3.81, 1.56], [1.1, 3.47, 1.62], [2.56, 5.29, 1.57], [0.0, 0.0, 0.0], [0.59, 4.4, 0.96], [2.02, 5.26, 1.62], [1.74, 3.56, 1.55], [1.38, 5.24, 1.48], [3.22, 2.84, 1.35]]
00:45:25.527 XYZ [[1.96, 4.42, 1.59], [1.25, 3.82, 1.56], [1.07, 3.51, 1.63], [2.56, 5.29, 1.57], [0.0, 0.0, 0.0], [0.78, 4.6, 0.99], [2.02, 5.26, 1.62], [1.76, 3.58, 1.55], [1.39, 5.26, 1.5], [3.22, 2.84, 1.35]]
