18:14:22.134 XYZ [[-5.05, 8.89, -24.85], [1.62, 3.05, 0.98], [4.75, 4.98, 1.87], [3.78, 6.12, 1.96], [-52.66, -50.1, -14.03], [1.52, 4.27, 1.51], [2.49, 5.87, 1.83], [3.21, 2.95, 1.41], [4.2, 5.76, 1.63], [4.58, 3.45, 1.99]]
18:14:22.218 XYZ [[-5.15, 8.52, -25.19], [1.64, 3.06, 0.99], [4.73, 4.98, 1.84], [3.72, 6.14, 1.89], [-38.27, -34.94, -22.6], [1.49, 4.25, 1.51], [2.47, 5.86, 1.84], [3.21, 2.92, 1.42], [4.19, 5.77, 1.66], [4.57, 3.48, 1.95]]
18:14:22.301 XYZ [[-5.01, 8.3, -25.14], [1.66, 3.08, 0.98], [4.71, 4.97, 1.84], [3.73, 6.14, 1.9], [-40.88, -37.83, -24.1], [1.47, 4.24, 1.51], [2.48, 5.86, 1.86], [3.23, 2.91, 1.41], [4.19, 5.77, 1.66], [4.59, 3.49, 1.97]]
18:14:22.385 XYZ [[-5.26, 8.26, -25.06], [1.66, 3.1, 0.97], [4.7, 4.99, 1.83], [3.68, 6.1, 1.83], [-12.69, -9.85, -31.01], [1.5, 4.24, 1.5], [2.49, 5.87, 1.86], [3.25, 2.94, 1.43], [4.12, 5.82, 1.65], [4.58, 3.5, 1.97]]
18:14:22.468 XYZ [[-5.1, 8.44, -24.85], [1.73, 3.15, 0.96], [4.69, 4.98, 1.83], [3.71, 6.11, 1.83], [-0.88, 0.84, -33.02], [1.56, 4.23, 1.51], [2.5, 5.86, 1.88], [3.28, 2.98, 1.4], [4.09, 5.84, 1.66], [4.6, 3.49, 1.97]]
18:14:22.552 XYZ [[-5.37, 8.42, -24.57], [1.75, 3.18, 0.95], [4.71, 4.99, 1.8], [3.7, 6.13, 1.83], [0.95, 2.12, -33.07], [1.59, 4.23, 1.51], [2.43, 5.84, 1.87], [3.31, 3.0, 1.39], [4.13, 5.8, 1.61], [4.53, 3.49, 1.98]]
18:14:22.636 XYZ [[-5.6, 8.67, -24.42], [1.75, 3.23, 0.96], [4.73, 5.01, 1.76], [3.67, 6.12, 1.84], [0.0, 6.99, -0.06], [1.61, 4.24, 1.54], [2.43, 5.85, 1.88], [3.3, 3.0, 1.39], [4.11, 5.81, 1.59], [4.47, 3.48, 1.97]]
18:14:22.720 XYZ [[-6.2, 8.96, -23.13], [1.78, 3.25, 0.98], [4.72, 5.02, 1.76], [3.63, 6.14, 1.88], [4.02, 4.51, -2.41], [1.68, 4.24, 1.57], [2.41, 5.85, 1.87], [3.32, 2.98, 1.52], [4.11, 5.78, 1.6], [4.46, 3.49, 1.98]]
18:14:22.804 XYZ [[-6.91, 8.96, -22.76], [1.79, 3.29, 1.02], [4.71, 5.03, 1.73], [3.66, 6.12, 1.79], [4.56, 4.44, -1.7], [1.68, 4.24, 1.57], [2.41, 5.87, 1.85], [3.37, 3.01, 1.5], [4.1, 5.82, 1.59], [4.48, 3.51, 1.99]]
18:14:22.887 XYZ [[-6.83, 9.26, -23.12], [1.8, 3.35, 1.04], [4.68, 5.03, 1.71], [3.69, 6.09, 1.81], [4.73, 4.52, -1.58], [1.69, 4.23, 1.58], [2.41, 5.91, 1.85], [3.36, 3.02, 1.46], [4.09, 5.83, 1.59], [4.48, 3.51, 1.96]]
18:14:22.971 XYZ [[-6.9, 9.07, -23.78], [1.8, 3.38, 1.07], [4.67, 5.04, 1.69], [3.71, 6.1, 1.8], [4.93, 4.42, -0.93], [1.7, 4.25, 1.59], [2.4, 5.93, 1.85], [3.38, 3.06, 1.46], [4.12, 5.79, 1.54], [4.45, 3.54, 1.94]]
18:14:23.054 XYZ [[-6.63, 9.26, -23.7], [1.86, 3.45, 1.16], [4.67, 5.04, 1.69], [3.76, 6.09, 1.78], [5.05, 4.49, -1.1], [1.71, 4.24, 1.61], [2.42, 5.95, 1.9], [3.35, 3.06, 1.43], [4.13, 5.73, 1.49], [4.42, 3.55, 1.92]]
18:14:23.137 XYZ [[-5.73, 9.72, -24.02], [1.9, 3.48, 1.19], [4.67, 5.04, 1.69], [3.76, 6.11, 1.83], [5.28, 4.73, -1.67], [1.8, 4.28, 1.64], [2.42, 5.97, 1.89], [3.37, 3.07, 1.43], [4.17, 5.72, 1.53], [4.42, 3.59, 1.89]]
18:14:23.221 XYZ [[-6.08, 10.1, -23.76], [1.9, 3.51, 1.2], [4.69, 5.04, 1.68], [3.78, 6.11, 1.83], [5.55, 5.03, -2.34], [1.8, 4.28, 1.62], [2.41, 5.97, 1.89], [3.35, 3.04, 1.43], [4.23, 5.65, 1.6], [4.41, 3.6, 1.9]]
18:14:23.304 XYZ [[-5.62, 9.48, -23.76], [1.9, 3.52, 1.27], [4.75, 4.99, 1.64], [3.74, 6.12, 1.79], [5.49, 5.07, -2.98], [1.8, 4.28, 1.6], [2.4, 5.96, 1.91], [3.33, 3.01, 1.48], [4.22, 5.65, 1.6], [4.41, 3.61, 1.9]]
18:14:23.388 XYZ [[-5.38, 9.27, -23.66], [1.9, 3.53, 1.31], [4.82, 4.95, 1.62], [3.74, 6.1, 1.78], [-0.02, 0.01, -0.03], [1.8, 4.26, 1.58], [2.39, 5.95, 1.92], [3.33, 3.0, 1.44], [4.23, 5.65, 1.59], [4.43, 3.66, 1.88]]
18:14:23.471 XYZ [[-4.85, 8.22, -23.03], [1.88, 3.53, 1.34], [4.82, 4.95, 1.62], [3.76, 6.1, 1.76], [-0.02, 0.01, -0.03], [1.8, 4.26, 1.57], [2.4, 5.96, 1.92], [3.35, 3.01, 1.44], [4.23, 5.65, 1.58], [4.43, 3.67, 1.87]]
18:14:23.555 XYZ [[-4.96, 7.07, -22.06], [1.86, 3.55, 1.33], [4.82, 4.94, 1.6], [3.8, 6.11, 1.75], [9.38, 9.65, 18.26], [1.8, 4.25, 1.57], [2.36, 5.92, 1.91], [3.4, 3.04, 1.43], [4.24, 5.66, 1.58], [4.44, 3.72, 1.85]]
18:14:23.638 XYZ [[-4.73, 6.34, -21.24], [1.88, 3.51, 1.31], [4.83, 4.94, 1.53], [3.75, 6.12, 1.77], [9.16, 9.69, 17.57], [1.8, 4.25, 1.57], [2.33, 5.89, 1.82], [3.44, 3.04, 1.43], [4.26, 5.64, 1.57], [4.45, 3.77, 1.82]]
18:14:23.722 XYZ [[-5.23, 5.52, -20.49], [1.87, 3.51, 1.34], [4.87, 4.95, 1.49], [3.74, 6.12, 1.77], [7.03, 5.84, 8.04], [1.8, 4.24, 1.56], [2.31, 5.87, 1.83], [3.47, 3.04, 1.44], [4.24, 5.71, 1.57], [4.46, 3.81, 1.81]]
18:14:23.805 XYZ [[-5.35, 6.24, -21.64], [1.85, 3.53, 1.29], [4.9, 4.96, 1.48], [3.75, 6.11, 1.72], [4.85, 3.79, 2.55], [1.81, 4.24, 1.56], [2.34, 5.88, 1.84], [3.49, 3.03, 1.4], [4.25, 5.71, 1.57], [4.45, 3.88, 1.78]]
18:14:23.889 XYZ [[-4.13, 7.16, -21.62], [1.81, 3.48, 1.25], [5.06, 4.94, 1.48], [3.73, 6.08, 1.68], [4.65, 4.17, 2.36], [1.82, 4.23, 1.57], [2.28, 5.85, 1.81], [3.39, 2.98, 1.45], [4.25, 5.7, 1.55], [4.43, 3.93, 1.75]]
18:14:23.972 XYZ [[-3.45, 7.02, -21.34], [1.83, 3.47, 1.25], [5.08, 4.92, 1.46], [3.71, 6.07, 1.67], [4.46, 4.27, 1.81], [1.71, 4.22, 1.55], [2.28, 5.85, 1.82], [3.39, 2.97, 1.45], [4.25, 5.7, 1.54], [4.43, 3.96, 1.72]]
18:14:24.056 XYZ [[-2.84, 6.93, -20.96], [1.77, 3.46, 1.26], [5.09, 4.91, 1.45], [3.71, 6.06, 1.67], [0.2, 3.44, -4.21], [1.72, 4.23, 1.57], [2.29, 5.85, 1.81], [3.35, 2.98, 1.47], [4.24, 5.74, 1.52], [4.4, 3.98, 1.71]]
18:14:24.139 XYZ [[-3.48, 6.67, -21.16], [1.76, 3.45, 1.24], [5.14, 4.92, 1.47], [3.67, 6.06, 1.7], [-0.95, 3.64, 1.69], [1.73, 4.23, 1.57], [2.29, 5.86, 1.81], [3.3, 2.98, 1.51], [4.24, 5.74, 1.52], [4.38, 4.0, 1.7]]
18:14:24.222 XYZ [[-2.68, 7.13, -20.7], [1.76, 3.45, 1.24], [5.15, 4.91, 1.44], [3.68, 6.07, 1.69], [-0.41, 3.94, 2.15], [1.75, 4.24, 1.59], [2.32, 5.84, 1.78], [3.31, 2.97, 1.52], [4.23, 5.73, 1.45], [4.29, 4.06, 1.68]]
18:14:24.306 XYZ [[-3.28, 6.97, -21.06], [1.74, 3.39, 1.15], [5.2, 4.89, 1.44], [3.69, 6.07, 1.68], [-0.63, 4.0, 1.92], [1.72, 4.24, 1.58], [2.12, 5.74, 1.6], [3.33, 2.97, 1.52], [4.27, 5.71, 1.43], [4.23, 4.13, 1.66]]
18:14:24.390 XYZ [[-3.41, 6.96, -21.14], [1.71, 3.37, 1.15], [5.2, 4.88, 1.44], [3.71, 6.06, 1.68], [-0.52, 4.12, 1.95], [1.71, 4.23, 1.57], [2.12, 5.74, 1.6], [3.32, 2.98, 1.49], [4.27, 5.71, 1.43], [4.24, 4.17, 1.67]]
18:14:24.473 XYZ [[-4.07, 6.56, -21.21], [1.72, 3.34, 1.11], [5.21, 4.89, 1.43], [3.69, 6.07, 1.7], [5.0, 4.38, 1.77], [1.64, 4.21, 1.58], [2.13, 5.76, 1.59], [3.33, 2.97, 1.52], [4.27, 5.73, 1.57], [4.17, 4.24, 1.65]]
18:14:24.557 XYZ [[-4.44, 6.59, -21.15], [1.71, 3.32, 1.15], [5.22, 4.88, 1.43], [3.68, 6.07, 1.71], [4.76, 4.45, 1.6], [1.62, 4.2, 1.58], [2.14, 5.76, 1.58], [3.32, 3.0, 1.53], [4.27, 5.73, 1.57], [4.12, 4.31, 1.62]]
18:14:24.640 XYZ [[-4.63, 6.34, -21.01], [1.7, 3.3, 1.16], [5.21, 4.9, 1.41], [3.67, 6.07, 1.75], [4.08, 4.47, 1.07], [1.62, 4.2, 1.58], [2.21, 5.77, 1.58], [3.35, 3.01, 1.53], [4.28, 5.74, 1.55], [4.04, 4.38, 1.6]]
18:14:24.724 XYZ [[-4.8, 5.73, -20.99], [1.69, 3.3, 1.14], [5.22, 4.89, 1.41], [3.67, 6.07, 1.75], [3.78, 4.55, 0.86], [1.62, 4.2, 1.58], [2.21, 5.77, 1.58], [3.37, 3.0, 1.53], [4.29, 5.74, 1.56], [4.03, 4.42, 1.63]]
18:14:24.807 XYZ [[-4.41, 5.13, -20.89], [1.67, 3.29, 1.12], [5.21, 4.86, 1.39], [3.65, 6.04, 1.72], [3.03, 4.58, 1.05], [1.62, 4.2, 1.58], [2.21, 5.8, 1.58], [3.41, 2.93, 1.58], [4.31, 5.72, 1.59], [3.93, 4.49, 1.6]]
18:14:24.898 XYZ [[-2.98, 5.6, -21.21], [1.71, 3.25, 1.17], [5.21, 4.88, 1.39], [3.67, 6.02, 1.69], [3.38, 4.56, -0.02], [1.62, 4.2, 1.58], [2.24, 5.74, 1.65], [3.4, 2.93, 1.56], [4.35, 5.71, 1.62], [3.82, 4.56, 1.58]]
18:14:24.981 XYZ [[-1.15, 5.56, -20.6], [1.7, 3.22, 1.17], [5.21, 4.86, 1.36], [3.68, 6.02, 1.67], [-4.56, 0.0, 0.32], [1.62, 4.2, 1.58], [2.23, 5.74, 1.66], [3.39, 2.96, 1.57], [4.35, 5.71, 1.64], [3.92, 3.84, 1.73]]
18:14:25.065 XYZ [[0.61, 5.45, -19.32], [1.69, 3.19, 1.16], [5.22, 4.86, 1.36], [3.69, 6.02, 1.65], [1.39, 1.91, 4.99], [1.62, 4.2, 1.58], [2.3, 5.8, 1.69], [3.37, 2.92, 1.57], [4.35, 5.71, 1.64], [3.96, 3.74, 1.76]]
18:14:25.148 XYZ [[0.17, 5.49, -19.8], [1.66, 3.14, 1.15], [5.23, 4.84, 1.36], [3.7, 6.02, 1.64], [5.61, 3.2, 6.66], [1.62, 4.2, 1.58], [2.31, 5.83, 1.69], [3.35, 2.89, 1.56], [4.35, 5.7, 1.63], [3.89, 3.64, 1.7]]
18:14:25.232 XYZ [[1.15, 6.12, -18.24], [1.65, 3.13, 1.14], [5.22, 4.85, 1.35], [3.69, 6.03, 1.64], [5.43, 4.08, 6.36], [1.62, 4.2, 1.58], [2.32, 5.8, 1.7], [3.34, 2.89, 1.57], [4.37, 5.69, 1.65], [3.94, 3.44, 1.82]]
18:14:25.327 XYZ [[1.41, 5.91, -18.13], [1.64, 3.11, 1.11], [5.21, 4.83, 1.37], [3.71, 6.04, 1.64], [5.33, 4.1, 5.92], [1.62, 4.2, 1.58], [2.33, 5.83, 1.69], [3.35, 2.86, 1.58], [4.5, 5.73, 1.7], [4.03, 3.4, 1.82]]
18:14:25.411 XYZ [[1.35, 6.5, -16.87], [1.62, 3.05, 1.14], [5.17, 4.85, 1.41], [3.7, 6.04, 1.7], [4.98, 4.12, 4.94], [1.47, 4.18, 1.48], [2.37, 5.85, 1.71], [3.25, 2.86, 1.62], [4.56, 5.61, 1.69], [4.0, 3.37, 1.84]]
18:14:25.494 XYZ [[1.08, 6.6, -16.73], [1.62, 3.02, 1.13], [5.09, 4.87, 1.49], [3.7, 6.02, 1.7], [4.55, 4.17, 3.14], [1.51, 4.2, 1.49], [2.41, 5.86, 1.74], [3.29, 2.84, 1.63], [4.57, 5.56, 1.71], [4.03, 3.32, 1.81]]
18:14:25.578 XYZ [[0.32, 6.95, -14.51], [1.61, 3.0, 1.13], [5.07, 4.9, 1.54], [3.67, 6.03, 1.69], [4.44, 4.18, 2.62], [1.5, 4.2, 1.48], [2.43, 5.86, 1.76], [3.27, 2.84, 1.64], [4.58, 5.56, 1.8], [3.99, 3.3, 1.71]]
18:14:25.661 XYZ [[0.63, 6.95, -14.38], [1.56, 2.95, 1.12], [5.05, 4.92, 1.54], [3.67, 6.03, 1.71], [4.12, 4.24, 2.17], [1.49, 4.2, 1.51], [2.44, 5.87, 1.75], [3.27, 2.87, 1.66], [4.63, 5.53, 1.84], [3.88, 3.36, 1.73]]
