19:02:26.138 XYZ [[2.54, 4.53, 1.45], [2.76, -0.95, 1.39], [3.39, 4.1, 1.47], [2.03, 2.97, 1.41], [1.77, 4.17, 1.51]]
19:02:26.221 XYZ [[2.56, 4.51, 1.47], [2.77, -0.95, 1.39], [3.4, 4.1, 1.49], [2.03, 2.97, 1.43], [1.77, 4.15, 1.52]]
19:02:26.304 XYZ [[2.57, 4.5, 1.47], [2.77, -0.99, 1.35], [3.38, 4.1, 1.52], [2.02, 2.98, 1.44], [1.77, 4.13, 1.52]]
19:02:26.388 XYZ [[2.6, 4.48, 1.46], [2.77, -1.0, 1.34], [3.38, 4.11, 1.52], [2.02, 2.98, 1.45], [1.76, 4.1, 1.54]]
19:02:26.472 XYZ [[2.62, 4.47, 1.46], [2.79, -1.05, 1.3], [3.39, 4.11, 1.52], [2.02, 2.99, 1.46], [1.77, 4.07, 1.51]]
19:02:26.555 XYZ [[2.63, 4.46, 1.43], [2.8, -1.04, 1.31], [3.37, 4.13, 1.54], [2.01, 2.99, 1.47], [1.77, 4.06, 1.52]]
19:02:26.639 XYZ [[2.66, 4.45, 1.44], [2.8, -1.05, 1.33], [3.37, 4.13, 1.56], [2.02, 3.0, 1.48], [1.77, 4.04, 1.51]]
19:02:26.722 XYZ [[2.66, 4.44, 1.44], [2.79, -1.07, 1.31], [3.36, 4.13, 1.57], [2.01, 3.0, 1.48], [1.74, 4.02, 1.49]]
19:02:26.806 XYZ [[2.66, 4.44, 1.44], [2.8, -1.04, 1.32], [3.36, 4.13, 1.57], [2.0, 3.01, 1.49], [1.74, 4.0, 1.5]]
19:02:26.889 XYZ [[2.65, 4.42, 1.42], [2.81, -1.04, 1.33], [3.36, 4.14, 1.55], [2.0, 3.01, 1.49], [1.72, 3.97, 1.5]]
19:02:26.972 XYZ [[2.65, 4.42, 1.43], [2.83, -1.03, 1.34], [3.36, 4.14, 1.56], [2.0, 3.01, 1.48], [1.73, 3.94, 1.51]]
