frame,type,psi
318,Unfiltered,-3.8125720156827647
318,Filtered,-6.333360250855787
319,Unfiltered,-3.545959969133299
319,Filtered,-6.333360250855787
320,Unfiltered,-3.2975784507818773
320,Filtered,-6.333360250855787
321,Unfiltered,-3.0551276119313986
321,Filtered,-6.288624207949766
322,Unfiltered,-2.8224077136322343
322,Filtered,-6.242123139594462
323,Unfiltered,-2.7734378495203904
323,Filtered,-6.2111816565718
324,Unfiltered,-2.974536943080892
324,Filtered,-6.152688316522301
325,Unfiltered,-3.1181704725237243
325,Filtered,-6.0807392021502595
326,Unfiltered,-3.19255964090371
326,Filtered,-6.032752733560424
327,Unfiltered,-3.2244086478293923
327,Filtered,-6.015284391782945
328,Unfiltered,-3.238461316812657
328,Filtered,-5.958761170060255
329,Unfiltered,-3.2300721251508095
329,Filtered,-5.898940865169125
330,Unfiltered,-3.1867819608376147
330,Filtered,-5.838040778512017
331,Unfiltered,-3.114950009240543
331,Filtered,-5.766281305395558
332,Unfiltered,-2.9551467048923445
332,Filtered,-5.70710043004223
333,Unfiltered,-2.774693765411129
333,Filtered,-5.6233936101690905
334,Unfiltered,-2.561483307060291
334,Filtered,-5.574906444592104
335,Unfiltered,-2.317873563073608
335,Filtered,-5.556615753074222
336,Unfiltered,-2.062049606210815
336,Filtered,-5.481153858831636
337,Unfiltered,-1.7740091990152873
337,Filtered,-5.408633850966378
338,Unfiltered,-1.4447519553313022
338,Filtered,-5.3643887196585345
339,Unfiltered,-1.4084101378386027
339,Filtered,-5.327613857120406
340,Unfiltered,-1.6591698663398962
340,Filtered,-5.292768590906527
341,Unfiltered,-1.980229458071232
341,Filtered,-5.196295826270898
342,Unfiltered,-2.381641461835051
342,Filtered,-5.058918256784718
343,Unfiltered,-2.858940358711007
343,Filtered,-4.9046696553891485
344,Unfiltered,-3.351228810320987
344,Filtered,-4.710012113617523
345,Unfiltered,-3.827393040419424
345,Filtered,-4.477876930871135
346,Unfiltered,-4.249567662869105
346,Filtered,-4.303591687445629
347,Unfiltered,-4.577390527467227
347,Filtered,-4.303591687445629
348,Unfiltered,-4.888390561610353
348,Filtered,-4.303591687445629
349,Unfiltered,-5.106900891621908
349,Filtered,-4.303591687445629
350,Unfiltered,-5.290174713828911
350,Filtered,-4.303591687445629
351,Unfiltered,-5.450301735876474
351,Filtered,-4.303591687445629
352,Unfiltered,-5.578097568365649
352,Filtered,-4.303591687445629
353,Unfiltered,-5.679063570121251
353,Filtered,-4.303591687445629
354,Unfiltered,-5.772449847044082
354,Filtered,-4.303591687445629
355,Unfiltered,-5.853075254444271
355,Filtered,-4.303591687445629
356,Unfiltered,-5.944099868430351
356,Filtered,-4.303591687445629
357,Unfiltered,-6.025642381489922
357,Filtered,-4.303591687445629
358,Unfiltered,-6.163222232078003
358,Filtered,-4.303591687445629
359,Unfiltered,-6.292379968392504
359,Filtered,-4.303591687445629
360,Unfiltered,-6.433554826010737
360,Filtered,-4.303591687445629
361,Unfiltered,-6.505775894738442
361,Filtered,-4.303591687445629
362,Unfiltered,-6.585195805406362
362,Filtered,-4.303591687445629
363,Unfiltered,-6.651976753823303
363,Filtered,-4.303591687445629
364,Unfiltered,-6.721786877019451
364,Filtered,-4.303591687445629
365,Unfiltered,-6.799516025608639
365,Filtered,-4.303591687445629
366,Unfiltered,-6.850854079679728
366,Filtered,-4.303591687445629
367,Unfiltered,-6.9105443946084515
367,Filtered,-4.303591687445629
368,Unfiltered,-7.016076700785062
368,Filtered,-4.303591687445629
369,Unfiltered,-7.138752160790755
369,Filtered,-4.303591687445629
370,Unfiltered,-7.279171738736168
370,Filtered,-4.303591687445629
371,Unfiltered,-7.432340575464025
371,Filtered,-4.303591687445629
372,Unfiltered,-7.585657055482349
372,Filtered,-4.303591687445629
373,Unfiltered,-7.742083710453931
373,Filtered,-4.303591687445629
374,Unfiltered,-7.883969956087906
374,Filtered,-4.303591687445629
375,Unfiltered,-7.983943852008193
375,Filtered,-4.303591687445629
376,Unfiltered,-8.030291858988676
376,Filtered,-4.4134790951681655
377,Unfiltered,-7.9745833676483295
377,Filtered,-4.73289054453879
378,Unfiltered,-7.810780608270356
378,Filtered,-4.997645726616131
379,Unfiltered,-7.52453062248345
379,Filtered,-5.19853780272541
380,Unfiltered,-7.143321876444402
380,Filtered,-5.3702382248526925
381,Unfiltered,-6.696948761950352
381,Filtered,-5.514199652121062
382,Unfiltered,-6.227322567883706
382,Filtered,-5.62858056924345
383,Unfiltered,-5.799417392004877
383,Filtered,-5.725756708582667
384,Unfiltered,-5.353824179667273
384,Filtered,-5.725756708582667
385,Unfiltered,-5.483214284690409
385,Filtered,-5.725756708582667
386,Unfiltered,-5.555246288338479
386,Filtered,-5.725756708582667
387,Unfiltered,-5.614050599337635
387,Filtered,-5.725756708582667
388,Unfiltered,-5.627073257050015
388,Filtered,-5.725756708582667
389,Unfiltered,-5.643254708446042
389,Filtered,-5.725756708582667
390,Unfiltered,-5.594084362918297
390,Filtered,-5.725756708582667
391,Unfiltered,-5.411596120910439
391,Filtered,-5.725756708582667
392,Unfiltered,-5.223791296982116
392,Filtered,-5.725756708582667
393,Unfiltered,-5.038598703673671
393,Filtered,-5.725756708582667
394,Unfiltered,-4.817606368286587
394,Filtered,-5.725756708582667
395,Unfiltered,-4.55859852473722
395,Filtered,-5.725756708582667
396,Unfiltered,-4.2818158690515284
396,Filtered,-5.725756708582667
397,Unfiltered,-3.9765753341141883
397,Filtered,-5.725756708582667
398,Unfiltered,-3.7005188802347764
398,Filtered,-5.725756708582667
399,Unfiltered,-3.454362341012782
399,Filtered,-5.725756708582667
400,Unfiltered,-3.1608024881722
400,Filtered,-5.725756708582667
401,Unfiltered,-2.88463622463585
401,Filtered,-5.725756708582667
402,Unfiltered,-2.598702559776237
402,Filtered,-5.725756708582667
403,Unfiltered,-2.28382215252058
403,Filtered,-5.725756708582667
404,Unfiltered,-2.3820787770199896
404,Filtered,-5.725756708582667
405,Unfiltered,-2.711104071368748
405,Filtered,-5.725756708582667
406,Unfiltered,-3.043781652950001
406,Filtered,-5.725756708582667
407,Unfiltered,-3.3454087729342685
407,Filtered,-5.725756708582667
408,Unfiltered,-3.6307111186639
408,Filtered,-5.725756708582667
409,Unfiltered,-3.881283497892337
409,Filtered,-5.725756708582667
410,Unfiltered,-4.143818039021653
410,Filtered,-5.725756708582667
411,Unfiltered,-4.3849043767800175
411,Filtered,-5.725756708582667
412,Unfiltered,-4.628169465263223
412,Filtered,-5.725756708582667
413,Unfiltered,-4.847621375648734
413,Filtered,-5.7078522777450615
414,Unfiltered,-5.078206916087568
414,Filtered,-5.635163982748029
415,Unfiltered,-5.259538431431297
415,Filtered,-5.620561928193825
416,Unfiltered,-5.487990510712457
416,Filtered,-5.6040674811279665
417,Unfiltered,-5.719688371403423
417,Filtered,-5.6040674811279665
418,Unfiltered,-5.9334883832204515
418,Filtered,-5.6040674811279665
419,Unfiltered,-6.155298381654536
419,Filtered,-5.6040674811279665
420,Unfiltered,-6.3856629013729815
420,Filtered,-5.6040674811279665
421,Unfiltered,-6.4866450823078114
421,Filtered,-5.6040674811279665
422,Unfiltered,-6.662729983651477
422,Filtered,-5.6040674811279665
423,Unfiltered,-6.852478822288463
423,Filtered,-5.6040674811279665
424,Unfiltered,-7.035615831283087
424,Filtered,-5.6040674811279665
425,Unfiltered,-7.207350395848106
425,Filtered,-5.6040674811279665
426,Unfiltered,-7.336565397489551
426,Filtered,-5.6040674811279665
427,Unfiltered,-7.411097789499719
427,Filtered,-5.6040674811279665
428,Unfiltered,-7.439709514983075
428,Filtered,-5.6040674811279665
429,Unfiltered,-7.433178259664627
429,Filtered,-5.6040674811279665
430,Unfiltered,-7.405862517295306
430,Filtered,-5.6040674811279665
431,Unfiltered,-7.3738033149001545
431,Filtered,-5.6040674811279665
432,Unfiltered,-7.3660223749742215
432,Filtered,-5.6040674811279665
433,Unfiltered,-7.377990832847303
433,Filtered,-5.6040674811279665
434,Unfiltered,-7.375486414098631
434,Filtered,-5.6040674811279665
435,Unfiltered,-7.338914039673222
435,Filtered,-5.6040674811279665
436,Unfiltered,-7.393247601425825
436,Filtered,-5.6040674811279665
437,Unfiltered,-7.916339703169092
437,Filtered,-5.6040674811279665
438,Unfiltered,-8.437726239458641
438,Filtered,-5.6040674811279665
439,Unfiltered,-8.896250523499603
439,Filtered,-5.6040674811279665
440,Unfiltered,-9.312363288054843
440,Filtered,-5.6040674811279665
441,Unfiltered,-9.662795565035974
441,Filtered,-5.6040674811279665
442,Unfiltered,-9.9717723766277
442,Filtered,-5.6040674811279665
443,Unfiltered,-10.204234017561756
443,Filtered,-5.6040674811279665
444,Unfiltered,-10.373798432795217
444,Filtered,-5.620561928193825
445,Unfiltered,-10.486468317214195
445,Filtered,-5.635163982748029
446,Unfiltered,-10.548938237252278
446,Filtered,-5.681471539924733
447,Unfiltered,-10.620111893123187
447,Filtered,-5.826588377311937
448,Unfiltered,-10.652716355277994
448,Filtered,-6.044393382437494
449,Unfiltered,-10.667109059913868
449,Filtered,-6.270480641513759
450,Unfiltered,-10.617625250101868
450,Filtered,-6.4361539918403965
451,Unfiltered,-10.493544285814028
451,Filtered,-6.574687532979644
452,Unfiltered,-10.329545022322648
452,Filtered,-6.75760440296997
453,Unfiltered,-10.106880785060342
453,Filtered,-6.944047326785775
454,Unfiltered,-9.777737988103773
454,Filtered,-7.1214831135655965
455,Unfiltered,-9.43339972162971
455,Filtered,-7.2719578966688285
456,Unfiltered,-9.088461862892231
456,Filtered,-7.337739718581386
457,Unfiltered,-8.737634232474909
457,Filtered,-7.352468207323722
458,Unfiltered,-8.389792452439508
458,Filtered,-7.369912844937188
459,Unfiltered,-8.05795510238717
459,Filtered,-7.374644864499393
460,Unfiltered,-7.747593824032979
460,Filtered,-7.376738623472967
461,Unfiltered,-7.422260415293211
461,Filtered,-7.385619217136564
462,Unfiltered,-7.083123301145855
462,Filtered,-7.385619217136564
463,Unfiltered,-6.769466492540339
463,Filtered,-7.385619217136564
464,Unfiltered,-6.457768426178321
464,Filtered,-7.385619217136564
465,Unfiltered,-6.145143847332417
465,Filtered,-7.385619217136564
466,Unfiltered,-6.479964807450301
466,Filtered,-7.385619217136564
467,Unfiltered,-6.747850092587473
467,Filtered,-7.385619217136564
468,Unfiltered,-6.992541945126153
468,Filtered,-7.385619217136564
469,Unfiltered,-7.158549276245129
469,Filtered,-7.385619217136564
470,Unfiltered,-7.321693399121523
470,Filtered,-7.385619217136564
471,Unfiltered,-7.4274174649235665
471,Filtered,-7.399555059360566
472,Unfiltered,-7.513549550838652
472,Filtered,-7.408480153397512
473,Unfiltered,-7.554556498833742
473,Filtered,-7.416679102396465
474,Unfiltered,-7.552045470434958
474,Filtered,-7.424838940108389
475,Unfiltered,-7.550274586333151
475,Filtered,-7.430297862294097
476,Unfiltered,-7.500541446826205
476,Filtered,-7.436443887323851
477,Unfiltered,-7.456138613074085
477,Filtered,-7.44792406402858
478,Unfiltered,-7.440071128946881
478,Filtered,-7.448104871010483
479,Unfiltered,-7.38865671773755
479,Filtered,-7.448104871010483
480,Unfiltered,-7.3280972302905845
480,Filtered,-7.448104871010483
481,Unfiltered,-7.3215143403578224
481,Filtered,-7.448104871010483
482,Unfiltered,-7.2919300136127205
482,Filtered,-7.448104871010483
483,Unfiltered,-7.224531674669912
483,Filtered,-7.448104871010483
484,Unfiltered,-7.099784797105954
484,Filtered,-7.448104871010483
485,Unfiltered,-6.925695827495266
485,Filtered,-7.448104871010483
486,Unfiltered,-6.685211709018651
486,Filtered,-7.448104871010483
487,Unfiltered,-6.420784432444954
487,Filtered,-7.448104871010483
488,Unfiltered,-6.134649731862984
488,Filtered,-7.448104871010483
489,Unfiltered,-5.8130801508474566
489,Filtered,-7.448104871010483
490,Unfiltered,-5.484184382394584
490,Filtered,-7.448104871010483
491,Unfiltered,-5.184146410655746
491,Filtered,-7.448104871010483
492,Unfiltered,-4.946189159219479
492,Filtered,-7.448104871010483
493,Unfiltered,-4.812579800335019
493,Filtered,-7.448104871010483
494,Unfiltered,-4.714949505898657
494,Filtered,-7.448104871010483
495,Unfiltered,-4.61424903240199
495,Filtered,-7.448104871010483
496,Unfiltered,-4.575682527543565
496,Filtered,-7.448104871010483
497,Unfiltered,-4.5558088578018925
497,Filtered,-7.433744296935224
498,Unfiltered,-4.55516851555182
498,Filtered,-7.424838940108389
499,Unfiltered,-4.573086682781842
499,Filtered,-7.405458566515381
500,Unfiltered,-4.58494482397454
500,Filtered,-7.358376974014067
501,Unfiltered,-4.543280221747025
501,Filtered,-7.324895314706054
502,Unfiltered,-4.517717617209966
502,Filtered,-7.321603869739673
503,Unfiltered,-4.48190969749211
503,Filtered,-7.3067221769852715
504,Unfiltered,-4.4152455808482305
504,Filtered,-7.258230844141316
505,Unfiltered,-4.343841143529881
505,Filtered,-7.19154047545752
506,Unfiltered,-4.238686257714475
506,Filtered,-7.1291670366755415
507,Unfiltered,-4.426816421403206
507,Filtered,-7.091454049125905
508,Unfiltered,-4.663069279953689
508,Filtered,-7.037832623136004
509,Unfiltered,-4.930673312740522
509,Filtered,-6.959118886310709
510,Unfiltered,-5.131503077297619
510,Filtered,-6.8475811600178025
511,Unfiltered,-5.281123347593805
