,Participant Public ID,Response,Absolute Reaction Time, Emergence,Group,Segment
125,5e6627a7ef80c639ac28b01a,3,16227.6739999046,-11.84590545,B_5,22
126,5e6627a7ef80c639ac28b01a,3,17328.3359998092,-6.786703797,B_8,3
127,5e6627a7ef80c639ac28b01a,2,16013.8999999999,-11.22788105,B_6,2
128,5e6627a7ef80c639ac28b01a,4,18856.6199999996,-2.048649049,B_9,4
129,5e6627a7ef80c639ac28b01a,2,17284.6969999996,-7.373064589,B_5,23
130,5e6627a7ef80c639ac28b01a,3,25357.3480000002,-20.26878095,B_5,9
131,5e6627a7ef80c639ac28b01a,4,19155.2200000002,-6.827642862,B_6,5
132,5e6627a7ef80c639ac28b01a,2,9311.23800000036,-7.544410267,B_2,1
133,5e6627a7ef80c639ac28b01a,7,22326.1049999045,-2.773495675,A_6,10
134,5e6627a7ef80c639ac28b01a,5,19152.4329999047,-1.161305809,A_2,2
135,5e6627a7ef80c639ac28b01a,4,22127.8990000002,-0.199292796,A_2,14
136,5e6627a7ef80c639ac28b01a,6,24147.7729998091,-9.787289403,B_7,7
137,5e6627a7ef80c639ac28b01a,3,12318.0329998093,-5.158173624,B_4,12
138,5e6627a7ef80c639ac28b01a,2,26976.1359998569,-2.940552011,A_9,23
139,5e6627a7ef80c639ac28b01a,6,18930.4640000001,1.748321547,B_3,14
140,5e6627a7ef80c639ac28b01a,4,8668.39499980909,-10.3582981,A_8,17
141,5e6627a7ef80c639ac28b01a,3,16629.5109999999,-6.893440408,A_2,17
142,5e6627a7ef80c639ac28b01a,2,35071.2230000002,-4.018070228,B_6,13
143,5e6627a7ef80c639ac28b01a,2,64956.1389999045,-5.525621367,B_8,7
144,5e6627a7ef80c639ac28b01a,2,20691.0419998094,-8.519438631,B_5,27
145,5e6627a7ef80c639ac28b01a,2,26158.7339999047,-3.469268652,A_5,3
146,5e6627a7ef80c639ac28b01a,3,21607.1889999047,-5.140639174,B_8,20
147,5e6627a7ef80c639ac28b01a,2,22290.2079999046,-4.559187125,A_2,5
148,5e6627a7ef80c639ac28b01a,2,22784.4889999995,-7.938718022,A_10,4
149,5e6627a7ef80c639ac28b01a,2,12100.4609998571,-8.743761616,A_9,16
150,5e6627a7ef80c639ac28b01a,2,12211.5959999524,-10.99083534,B_5,19
151,5e6627a7ef80c639ac28b01a,2,9508.52599985711,-12.74017016,B_4,19
152,5e6627a7ef80c639ac28b01a,6,13987.9629999045,-8.702416892,A_2,16
153,5e6627a7ef80c639ac28b01a,4,60293.4389999997,-5.197752877,A_5,15
154,5e6627a7ef80c639ac28b01a,5,11700.1409999523,-3.689407416,B_9,10
155,5e6627a7ef80c639ac28b01a,3,29153.2610000004,-8.53811642,A_8,20
156,5e6627a7ef80c639ac28b01a,4,22701.0710000004,-3.601366378,A_2,7
157,5e6627a7ef80c639ac28b01a,4,14810.7889999998,-4.453727438,A_9,17
158,5e6627a7ef80c639ac28b01a,3,39233.4160000002,-4.082404483,A_9,22
159,5e6627a7ef80c639ac28b01a,3,17742.0039998567,-5.705316199,A_8,29
160,5e6627a7ef80c639ac28b01a,4,27147.5989999999,-4.198112511,B_5,17
161,5e6627a7ef80c639ac28b01a,4,23210.6749998568,-3.311969808,A_8,5
162,5e6627a7ef80c639ac28b01a,4,42416.1089998567,-5.83321181,B_4,18
163,5e6627a7ef80c639ac28b01a,3,26395.4839998567,-4.282057583,B_6,19
164,5e6627a7ef80c639ac28b01a,6,20054.8089999998,-0.493524456,A_6,15
165,5e6627a7ef80c639ac28b01a,3,30891.2769999997,-6.069217655,A_6,3
166,5e6627a7ef80c639ac28b01a,3,20754.2919998094,-8.94925643,B_4,14
167,5e6627a7ef80c639ac28b01a,3,14687.2999998568,-4.467977017,A_2,8
168,5e6627a7ef80c639ac28b01a,4,15144.5010000001,-15.71083511,B_8,19
169,5e6627a7ef80c639ac28b01a,3,41857.8449998092,-3.876497941,A_9,30
170,5e6627a7ef80c639ac28b01a,3,15964.1780000003,-12.39569285,B_3,1
171,5e6627a7ef80c639ac28b01a,3,16973.5739999045,-10.59572674,B_5,24
172,5e6627a7ef80c639ac28b01a,3,17819.361,-6.057543288,A_9,3
173,5e6627a7ef80c639ac28b01a,3,21447.1649999995,-0.321849388,A_3,2
174,5e6627a7ef80c639ac28b01a,3,21478.1589999524,-5.402576211,B_4,23
175,5e6627a7ef80c639ac28b01a,3,32352.992,-0.779575199,A_9,7
176,5e6627a7ef80c639ac28b01a,3,23503.5419999999,-1.504861728,B_4,30
177,5e6627a7ef80c639ac28b01a,2,27294.3369998093,-7.39095731,B_4,16
178,5e6627a7ef80c639ac28b01a,3,34649.1449998091,-3.629293571,B_3,9
179,5e6627a7ef80c639ac28b01a,3,43204.7209998094,-7.738109158,B_5,1
180,5e6627a7ef80c639ac28b01a,7,21179.6469999998,1.718538275,B_1,18
181,5e6627a7ef80c639ac28b01a,3,17294.6129999524,-6.479811228,B_2,3
182,5e6627a7ef80c639ac28b01a,3,12613.8239999525,-15.15956747,B_4,8
183,5e6627a7ef80c639ac28b01a,3,29839.2039999999,-14.73137104,B_6,11
184,5e6627a7ef80c639ac28b01a,3,21027.6299999523,-4.445864452,B_3,13
185,5e6627a7ef80c639ac28b01a,3,29537.9390000007,-16.69515989,B_8,22
186,5e6627a7ef80c639ac28b01a,3,22867.1099999044,-8.225564036,B_8,26
187,5e6627a7ef80c639ac28b01a,5,25442.6950000002,-3.418515205,B_4,32
188,5e6627a7ef80c639ac28b01a,4,16327.2999999523,-4.446637176,B_7,4
189,5e6627a7ef80c639ac28b01a,3,25241.7549999998,-3.290868755,B_4,7
190,5e6627a7ef80c639ac28b01a,6,23209.4099998092,-2.478863005,A_3,1
191,5e6627a7ef80c639ac28b01a,4,39630.384,-8.71170834,A_2,13
192,5e6627a7ef80c639ac28b01a,3,31152.8179999045,-5.057528672,A_8,2
193,5e6627a7ef80c639ac28b01a,3,21727.2279998571,-0.449890281,B_4,4
194,5e6627a7ef80c639ac28b01a,3,22065.6899999999,-10.41927112,A_6,7
195,5e6627a7ef80c639ac28b01a,3,27354.4069999521,-2.468797896,B_2,4
196,5e6627a7ef80c639ac28b01a,3,21714.3480000002,-8.54708066,A_2,22
197,5e6627a7ef80c639ac28b01a,4,13873.9749999046,-9.198525324,A_9,4
198,5e6627a7ef80c639ac28b01a,4,16967.1150000002,-2.765758945,A_9,1
199,5e6627a7ef80c639ac28b01a,7,10631.361,2.692983074,B_9,19
200,5e6627a7ef80c639ac28b01a,6,22731.0679999999,-4.965568913,B_5,30
201,5e6627a7ef80c639ac28b01a,4,27308.124999857,-20.3553234,B_5,12
